frequency_hz,amplitude
0.000000000000000000e+00,1.751007416022974985e-09
4.834289550781250555e-01,3.525560047322403111e-09
9.668579101562501110e-01,3.597276366689046200e-09
1.450286865234375222e+00,3.720512547381374889e-09
1.933715820312500222e+00,3.901224281998113020e-09
2.417144775390625444e+00,4.148605470829030283e-09
2.900573730468750444e+00,4.476131420220392397e-09
3.384002685546875444e+00,4.903228421962266621e-09
3.867431640625000444e+00,5.457951372999121836e-09
4.350860595703125888e+00,6.181361169515104124e-09
4.834289550781250888e+00,7.134902066386586149e-09
5.317718505859375888e+00,8.413338991234795027e-09
5.801147460937500888e+00,1.016859146959993996e-08
6.284576416015625888e+00,1.265639072573580382e-08
6.768005371093750888e+00,1.633480068414325671e-08
7.251434326171875888e+00,2.209343029310593719e-08
7.734863281250000888e+00,3.186019336951936142e-08
8.218292236328126776e+00,5.052948576430076548e-08
8.701721191406251776e+00,9.411995291434011388e-08
9.185150146484376776e+00,2.498467438580721370e-07
9.668579101562501776e+00,1.224696511040948392e-02
1.015200805664062678e+01,2.449281098498302944e-02
1.063543701171875178e+01,1.224696512150117052e-02
1.111886596679687678e+01,2.498246448920496326e-07
1.160229492187500178e+01,9.408702093820759400e-08
1.208572387695312678e+01,5.048599621927647308e-08
1.256915283203125178e+01,3.180654083049771978e-08
1.305258178710937678e+01,2.203015446201425891e-08
1.353601074218750178e+01,1.626262235120684592e-08
1.401943969726562678e+01,1.257626059723376239e-08
1.450286865234375178e+01,1.008175590280016072e-08
1.498629760742187678e+01,8.321428279060834091e-09
1.546972656250000178e+01,7.040049524781361437e-09
1.595315551757812678e+01,6.086364496883716413e-09
1.643658447265625355e+01,5.366493128100506519e-09
1.692001342773437855e+01,4.820180228883689351e-09
1.740344238281250355e+01,4.407978562553479366e-09
1.788687133789062855e+01,4.104047339788897147e-09
1.837030029296875355e+01,3.892036722942656981e-09
1.885372924804687855e+01,3.762807846218692198e-09
1.933715820312500355e+01,3.713381502043679896e-09
1.982058715820312855e+01,3.746881387183981870e-09
2.030401611328125355e+01,3.873525307362544912e-09
2.078744506835937855e+01,4.113049604711519290e-09
2.127087402343750355e+01,4.499505992328625538e-09
2.175430297851562855e+01,5.090507417314783669e-09
2.223773193359375355e+01,5.985645368637037710e-09
2.272116088867187855e+01,7.365636206354164314e-09
2.320458984375000355e+01,9.583612674287043291e-09
2.368801879882812855e+01,1.340697869219064445e-08
2.417144775390625355e+01,2.078616607263401321e-08
2.465487670898437855e+01,3.810730496231946768e-08
2.513830566406250355e+01,1.001445655821181898e-07
2.562173461914062855e+01,4.883184302272124480e-03
2.610516357421875355e+01,9.765923706345363414e-03
2.658859252929687855e+01,4.883184400344204451e-03
2.707202148437500355e+01,9.994745695528082110e-08
2.755545043945312855e+01,3.780920504374947054e-08
2.803887939453125355e+01,2.038407683952612784e-08
2.852230834960937855e+01,1.289677588174740876e-08
2.900573730468750355e+01,8.959928307949917859e-09
2.948916625976562855e+01,6.621699891305708858e-09
2.997259521484375355e+01,5.113074730966720381e-09
3.045602416992187855e+01,4.079034353089595551e-09
3.093945312500000355e+01,3.336620191840037031e-09
3.142288208007812855e+01,2.783533684545004319e-09
3.190631103515625355e+01,2.358845688165038372e-09
3.238973999023438211e+01,2.024384187577837989e-09
3.287316894531250711e+01,1.755220718663725461e-09
3.335659790039063211e+01,1.534499316668653225e-09
3.384002685546875711e+01,1.350479446039574106e-09
3.432345581054688211e+01,1.194771120502844569e-09
3.480688476562500711e+01,1.061242315409999124e-09
3.529031372070313211e+01,9.453209253968987156e-10
3.577374267578125711e+01,8.435361865606413811e-10
3.625717163085938211e+01,7.532101409328295996e-10
3.674060058593750711e+01,6.722454416578727971e-10
3.722402954101563211e+01,5.989768326061940023e-10
3.770745849609375711e+01,5.320655414978833539e-10
3.819088745117188211e+01,4.704236648252053678e-10
3.867431640625000711e+01,4.131601836184232387e-10
3.915774536132813211e+01,3.595441396840853700e-10
3.964117431640625711e+01,3.089836201504244985e-10
4.012460327148438211e+01,2.610244540260181322e-10
4.060803222656250711e+01,2.153832911267701110e-10
4.109146118164063211e+01,1.720613699930654355e-10
4.157489013671875711e+01,1.316893450142442986e-10
4.205831909179688211e+01,9.662237902333084399e-11
4.254174804687500711e+01,7.402835186990035516e-11
4.302517700195313211e+01,7.631668141396794460e-11
4.350860595703125711e+01,1.028580446785066614e-10
4.399203491210938211e+01,1.419128813442662960e-10
4.447546386718750711e+01,1.873687546721825137e-10
4.495889282226563211e+01,2.373759811078402459e-10
4.544232177734375711e+01,2.916414205080726396e-10
4.592575073242188211e+01,3.505077983408046116e-10
4.640917968750000711e+01,4.146751700344157800e-10
4.689260864257813211e+01,4.851289893151975478e-10
4.737603759765625711e+01,5.631495979709676689e-10
4.785946655273438211e+01,6.503680985091505787e-10
4.834289550781250711e+01,7.488625236213240269e-10
4.882632446289063211e+01,8.613019433784111466e-10
4.930975341796875711e+01,9.911566861125318013e-10
4.979318237304688211e+01,1.143006528512946617e-09
5.027661132812500711e+01,1.322999882434374515e-09
5.076004028320313211e+01,1.539553421556966971e-09
5.124346923828125711e+01,1.804447087130975715e-09
5.172689819335938211e+01,2.134592454702026842e-09
5.221032714843750711e+01,2.554994555734747117e-09
5.269375610351563211e+01,3.103929247380485492e-09
5.317718505859375711e+01,3.842465396339088085e-09
5.366061401367188211e+01,4.873088485460427284e-09
5.414404296875000711e+01,6.379006473999609827e-09
5.462747192382813211e+01,8.715570216137940115e-09
5.511090087890625711e+01,1.265223845893527659e-08
5.559432983398438211e+01,2.014143595540172498e-08
5.607775878906250711e+01,3.757132484977222214e-08
5.656118774414063211e+01,9.971825494501797158e-08
5.704461669921875711e+01,4.883184615542183679e-03
5.752804565429688211e+01,9.765923513826478899e-03
5.801147460937500711e+01,4.883184465332621009e-03
5.849490356445313211e+01,1.000254651787120967e-07
5.897833251953125711e+01,3.804954816315626858e-08
5.946176147460938211e+01,2.081274284870523147e-08
5.994519042968750711e+01,1.354795248086679762e-08
6.042861938476563211e+01,9.877773781198096864e-09
6.091204833984375711e+01,7.862421025166208857e-09
6.139547729492188211e+01,6.747746961459503624e-09
6.187890625000000711e+01,6.198279137059994257e-09
6.236233520507813211e+01,6.059211408697373426e-09
6.284576416015625711e+01,6.272257682265060001e-09
6.332919311523438211e+01,6.849217531261219661e-09
6.381262207031250711e+01,7.877364976838306458e-09
6.429605102539063921e+01,9.559442260528120868e-09
6.477947998046876421e+01,1.232299138866472995e-08
6.526290893554688921e+01,1.712040649791419393e-08
6.574633789062501421e+01,2.639038220594610128e-08
6.622976684570313921e+01,4.813244518170486931e-08
6.671319580078126421e+01,1.259186072018555295e-07
6.719662475585938921e+01,6.118611884559231780e-03
6.768005371093751421e+01,1.223666793810606994e-02
6.816348266601563921e+01,6.118611792311816344e-03
6.864691162109376421e+01,1.261202489563827766e-07
6.913034057617188921e+01,4.847928895875149692e-08
6.961376953125001421e+01,2.693954581963840842e-08
7.009719848632813921e+01,1.795314277826047710e-08
7.058062744140626421e+01,1.354608668561641161e-08
7.106405639648438921e+01,1.130381379956323048e-08
7.154748535156251421e+01,1.029486273084501061e-08
7.203091430664063921e+01,1.011244333704653163e-08
7.251434326171876421e+01,1.058397734746076818e-08
7.299777221679688921e+01,1.167675900145936022e-08
7.348120117187501421e+01,1.347907133128574658e-08
7.396463012695313921e+01,1.623031904904372333e-08
7.444805908203126421e+01,2.041974758139714724e-08
7.493148803710938921e+01,2.703800201449740328e-08
7.541491699218751421e+01,3.825807991708660158e-08
7.589834594726563921e+01,5.960982787299466279e-08
7.638177490234376421e+01,1.091863700991077927e-07
7.686520385742188921e+01,2.854368680367997314e-07
7.734863281250001421e+01,1.382035772148109375e-02
7.783206176757813921e+01,2.763946593715633712e-02
7.831549072265626421e+01,1.382035542802014655e-02
7.879891967773438921e+01,2.904035412024675959e-07
7.928234863281251421e+01,1.177609296788872047e-07
7.976577758789063921e+01,7.380671776177987475e-08
8.024920654296876421e+01,6.274115817228835091e-08
8.073263549804688921e+01,7.506119866242280777e-08
8.121606445312501421e+01,1.519043676535824965e-07
8.169949340820313921e+01,6.551465712163322477e-03
8.218292236328126421e+01,1.310237240454910357e-02
8.266635131835938921e+01,6.551470357098458652e-03
8.314978027343751421e+01,1.418116571024101473e-07
8.363320922851563921e+01,5.754736960428332428e-08
8.411663818359376421e+01,3.356062617043594470e-08
8.460006713867188921e+01,2.313782553754334978e-08
8.508349609375001421e+01,1.767987731233205434e-08
8.556692504882813921e+01,1.456151892223332658e-08
8.605035400390626421e+01,1.276809455486208669e-08
8.653378295898438921e+01,1.187175126409738737e-08
8.701721191406251421e+01,1.172606277154555148e-08
8.750064086914063921e+01,1.238674040128481694e-08
8.798406982421876421e+01,1.416119999016033699e-08
8.846749877929688921e+01,1.785439376032752651e-08
8.895092773437501421e+01,2.561552861082620719e-08
8.943435668945313921e+01,4.456692757017038619e-08
8.991778564453126421e+01,1.135783486219327683e-07
9.040121459960938921e+01,5.459564695847136939e-03
9.088464355468751421e+01,1.091863576291332225e-02
9.136807250976563921e+01,5.459565179091786964e-03
9.185150146484376421e+01,1.126350652169857403e-07
9.233493041992188921e+01,4.322051474589260525e-08
9.281835937500001421e+01,2.397894321211184085e-08
9.330178833007813921e+01,1.613057297859775401e-08
9.378521728515626421e+01,1.267891915556252040e-08
9.426864624023438921e+01,1.161887316121590714e-08
9.475207519531251421e+01,1.230803948905022587e-08
9.523550415039063921e+01,1.473919099767743582e-08
9.571893310546876421e+01,1.964272869712511440e-08
9.620236206054688921e+01,2.942560234740548817e-08
9.668579101562501421e+01,5.240256130129913372e-08
9.716921997070313921e+01,1.342682957597089389e-07
9.765264892578126421e+01,6.422823287278200607e-03
9.813607788085938921e+01,1.284507038033791404e-02
9.861950683593751421e+01,6.422822634220883183e-03
9.910293579101563921e+01,1.355865503031503296e-07
9.958636474609376421e+01,5.441033092413338821e-08
1.000697937011718892e+02,3.215703750082117700e-08
1.005532226562500142e+02,2.313208982524492408e-08
1.010366516113281392e+02,1.899594641074330230e-08
1.015200805664062642e+02,1.726723865217915356e-08
1.020035095214843892e+02,1.706077099427956580e-08
1.024869384765625142e+02,1.810955985215644747e-08
1.029703674316406392e+02,2.051500896455431644e-08
1.034537963867187642e+02,2.477791843203667110e-08
1.039372253417968892e+02,3.212506107217031836e-08
1.044206542968750142e+02,4.561202960528008699e-08
1.049040832519531392e+02,7.451217527037987697e-08
1.053875122070312642e+02,1.633548710038163379e-07
1.058709411621093892e+02,5.027401117975509488e-03
1.063543701171875142e+02,3.905682460264519804e-03
