frequency_hz,amplitude
0.000000000000000000e+00,1.978174300001518114e-10
4.940185546875000000e-01,3.965799206356550014e-10
9.880371093750000000e-01,3.994401821429670868e-10
1.482055664062500000e+00,4.042923972175968020e-10
1.976074218750000000e+00,4.112696793471428303e-10
2.470092773437500000e+00,4.205698830476477150e-10
2.964111328125000000e+00,4.324686491899466174e-10
3.458129882812500000e+00,4.473386945649614750e-10
3.952148437500000000e+00,4.656778788631832005e-10
4.446166992187500000e+00,4.881500647258288092e-10
4.940185546875000000e+00,5.156452563435202236e-10
5.434204101562500000e+00,5.493696960533506333e-10
5.928222656250000000e+00,5.909840512610485369e-10
6.422241210937500000e+00,6.428216120017613613e-10
6.916259765625000000e+00,7.082450386996010848e-10
7.410278320312500000e+00,7.922545333442624158e-10
7.904296875000000000e+00,9.025781950220256723e-10
8.398315429687500000e+00,1.051751162996938442e-09
8.892333984375000000e+00,1.261397039186589520e-09
9.386352539062500000e+00,1.571958672712385497e-09
9.880371093750000000e+00,2.067925446972413193e-09
1.037438964843750000e+01,2.956617393552846431e-09
1.086840820312500000e+01,4.897179009570419231e-09
1.136242675781250000e+01,1.140367490317283124e-08
1.185644531250000000e+01,4.883165728705225360e-04
1.235046386718750000e+01,9.765950153353289507e-04
1.284448242187500000e+01,4.883142984017859204e-04
1.333850097656250000e+01,1.762038190500873670e-08
1.383251953125000000e+01,2.383267842096283373e-08
1.432653808593750000e+01,9.766347814346553607e-04
1.482055664062500000e+01,1.953186088609509905e-03
1.531457519531250000e+01,9.766359099165761171e-04
1.580859375000000000e+01,2.074191879495433919e-08
1.630261230468750000e+01,8.179250262319243396e-09
1.679663085937500000e+01,4.606554284339810549e-09
1.729064941406250000e+01,3.050619591655416285e-09
1.778466796875000000e+01,2.223890480485010660e-09
1.827868652343750000e+01,1.730065831300022732e-09
1.877270507812500000e+01,1.411699179788808653e-09
1.926672363281250000e+01,1.195490060363732442e-09
1.976074218750000000e+01,1.043388248286880944e-09
2.025476074218750000e+01,9.340298129282323045e-10
2.074877929687500000e+01,8.547184766813593160e-10
2.124279785156250000e+01,7.976162547137243163e-10
2.173681640625000000e+01,7.578029480489387244e-10
2.223083496093750000e+01,7.322431770173814572e-10
2.272485351562500000e+01,7.192352820814735095e-10
2.321887207031250000e+01,7.181479081935085166e-10
2.371289062500000000e+01,7.293648596211615059e-10
2.420690917968750000e+01,7.544326587499134863e-10
2.470092773437500000e+01,7.964807632528937541e-10
2.519494628906250000e+01,8.611087497101690983e-10
2.568896484375000000e+01,9.582051452299108457e-10
2.618298339843750000e+01,1.105849642229510980e-09
2.667700195312500000e+01,1.339438823060637537e-09
2.717102050781250000e+01,1.735878053163123158e-09
2.766503906250000000e+01,2.490477074607313545e-09
2.815905761718750000e+01,4.242257601452624540e-09
2.865307617187500000e+01,1.046925892340773477e-08
2.914709472656250000e+01,4.883179475924622273e-04
2.964111328125000000e+01,9.765928875578140048e-04
3.013513183593750000e+01,4.883178816548703607e-04
3.062915039062500000e+01,1.060617649040893757e-08
3.112316894531250000e+01,4.460808477188816634e-09
3.161718750000000000e+01,2.808312864297147567e-09
3.211120605468750000e+01,2.180489703565905406e-09
3.260522460937500000e+01,1.953809904753015231e-09
3.309924316406250000e+01,1.959919688953435429e-09
3.359326171875000000e+01,2.173573978619621589e-09
3.408728027343750000e+01,2.670372553591419013e-09
3.458129882812500000e+01,3.711971742163500250e-09
3.507531738281250000e+01,6.198296127090675831e-09
3.556933593750000000e+01,1.505403982829307406e-08
3.606335449218750000e+01,6.905855044049234986e-04
3.655737304687500000e+01,1.381111523614010194e-03
3.705139160156250000e+01,6.905846420348227136e-04
3.754541015625000000e+01,1.764883960142078517e-08
3.803942871093750000e+01,1.515594411230397800e-08
3.853344726562500000e+01,4.883153289776576318e-04
3.902746582031250000e+01,9.765949732286284459e-04
3.952148437500000000e+01,4.883158500291431186e-04
4.001550292968750000e+01,1.299119731066702044e-08
4.050952148437500000e+01,7.765998031543289456e-09
4.100354003906250000e+01,8.402210697677684534e-09
4.149755859375000000e+01,1.552719530407720142e-08
4.199157714843750000e+01,4.883071485626723626e-04
4.248559570312500000e+01,4.882749530698803075e-04
4.297961425781250000e+01,4.882747758640426303e-04
4.347363281250000000e+01,4.883077179944093687e-04
4.396765136718750000e+01,1.442431527125807957e-08
4.446166992187500000e+01,6.411846615624026975e-09
4.495568847656250000e+01,3.880189373921835652e-09
4.544970703125000000e+01,2.708765460742790803e-09
4.594372558593750000e+01,2.060847745721714833e-09
4.643774414062500000e+01,1.662481776416249406e-09
4.693176269531250000e+01,1.400004501343783972e-09
4.742578125000000000e+01,1.218774755607027637e-09
4.791979980468750000e+01,1.089723087017582051e-09
