frequency_hz,amplitude
0.000000000000000000e+00,6.384230990681067070e-10
4.832153320312499445e-01,1.277022091056790653e-09
9.664306640624998890e-01,1.277549832862982804e-09
1.449645996093749778e+00,1.278429674605305807e-09
1.932861328124999778e+00,1.279662050504326784e-09
2.416076660156249556e+00,1.281247547154949652e-09
2.899291992187499556e+00,1.283186915763250098e-09
3.382507324218749556e+00,1.285481103095854271e-09
3.865722656249999556e+00,1.288131223935607102e-09
4.348937988281249112e+00,1.291138531864016579e-09
4.832153320312499112e+00,1.294504503741670038e-09
5.315368652343749112e+00,1.298230790258748069e-09
5.798583984374999112e+00,1.302319223430716025e-09
6.281799316406249112e+00,1.306771805064420312e-09
6.765014648437499112e+00,1.311590746061914335e-09
7.248229980468749112e+00,1.316778486394726859e-09
7.731445312499999112e+00,1.322337594671426019e-09
8.214660644531248224e+00,1.328270922689766740e-09
8.697875976562498224e+00,1.334581457948540224e-09
9.181091308593748224e+00,1.341272504268581005e-09
9.664306640624998224e+00,1.348347464563287907e-09
1.014752197265624822e+01,1.355810075934375897e-09
1.063073730468749822e+01,1.363664298403044850e-09
1.111395263671874822e+01,1.371914262203492958e-09
1.159716796874999822e+01,1.380564390977841998e-09
1.208038330078124822e+01,1.389619706027013215e-09
1.256359863281249822e+01,1.399084466844042454e-09
1.304681396484374822e+01,1.408964629701079271e-09
1.353002929687499822e+01,1.419265379045397897e-09
1.401324462890624822e+01,1.429992629227787268e-09
1.449645996093749822e+01,1.441152494980904309e-09
1.497967529296874822e+01,1.452751510332375107e-09
1.546289062499999822e+01,1.464796383878984644e-09
1.594610595703124822e+01,1.477294286496668686e-09
1.642932128906249645e+01,1.490252772898137117e-09
1.691253662109374645e+01,1.503679642255637748e-09
1.739575195312499645e+01,1.517583162881433681e-09
1.787896728515624645e+01,1.531972048161409178e-09
1.836218261718749645e+01,1.546855295378754630e-09
1.884539794921874645e+01,1.562242456333472896e-09
1.932861328124999645e+01,1.578143472198700498e-09
1.981182861328124645e+01,1.594568757197468930e-09
2.029504394531249645e+01,1.611529247181186109e-09
2.077825927734374645e+01,1.629036344541150863e-09
2.126147460937499645e+01,1.647101976170369616e-09
2.174468994140624645e+01,1.665738692941931991e-09
2.222790527343749645e+01,1.684959493258529899e-09
2.271112060546874645e+01,1.704778129133124152e-09
2.319433593749999645e+01,1.725208836981336790e-09
2.367755126953124645e+01,1.746266616171023800e-09
2.416076660156249645e+01,1.767966987685568579e-09
2.464398193359374645e+01,1.790326469691278981e-09
2.512719726562499645e+01,1.813361963626052173e-09
2.561041259765624645e+01,1.837091472614584786e-09
2.609362792968749645e+01,1.861533592722875244e-09
2.657684326171874645e+01,1.886707859368143998e-09
2.706005859374999645e+01,1.912634736956251482e-09
2.754327392578124645e+01,1.939335511067377009e-09
2.802648925781249645e+01,1.966832579530132704e-09
2.850970458984374645e+01,1.995149230917340574e-09
2.899291992187499645e+01,2.024309950021127844e-09
2.947613525390624645e+01,2.054340281241668583e-09
2.995935058593749645e+01,2.085266957749411828e-09
3.044256591796874645e+01,2.117117991528593547e-09
3.092578124999999645e+01,2.149922670882942987e-09
3.140899658203124645e+01,2.183711676431810987e-09
3.189221191406249645e+01,2.218517133500249650e-09
3.237542724609374289e+01,2.254372694536647803e-09
3.285864257812499289e+01,2.291313601624611189e-09
3.334185791015624289e+01,2.329376827773402069e-09
3.382507324218749289e+01,2.368601058204334030e-09
3.430828857421874289e+01,2.409026951556926962e-09
3.479150390624999289e+01,2.450697072002562699e-09
3.527471923828124289e+01,2.493656110905519673e-09
3.575793457031249289e+01,2.537950996685755103e-09
3.624114990234374289e+01,2.583630945002510154e-09
3.672436523437499289e+01,2.630747738765471505e-09
3.720758056640624289e+01,2.679355658030024126e-09
3.769079589843749289e+01,2.729511874725974704e-09
3.817401123046874289e+01,2.781276425061512700e-09
3.865722656249999289e+01,2.834712543196691351e-09
3.914044189453124289e+01,2.889886691600423440e-09
3.962365722656249289e+01,2.946868887117746228e-09
4.010687255859374289e+01,3.005732901710666804e-09
4.059008789062499289e+01,3.066556441873102178e-09
4.107330322265624289e+01,3.129421452176008804e-09
4.155651855468749289e+01,3.194414367922618777e-09
4.203973388671874289e+01,3.261626405603291821e-09
4.252294921874999289e+01,3.331153964948625262e-09
4.300616455078124289e+01,3.403098729019002147e-09
4.348937988281249289e+01,3.477568410975338345e-09
4.397259521484374289e+01,3.554676708512369846e-09
4.445581054687499289e+01,3.634544144102404709e-09
4.493902587890624289e+01,3.717298267053639239e-09
4.542224121093749289e+01,3.803074204129989419e-09
4.590545654296874289e+01,3.892015336446558121e-09
4.638867187499999289e+01,3.984273670165195771e-09
4.687188720703124289e+01,4.080010744299312846e-09
4.735510253906249289e+01,4.179398036287820431e-09
4.783831787109374289e+01,4.282617988297133093e-09
4.832153320312499289e+01,4.389864677786733659e-09
4.880474853515624289e+01,4.501344753961447314e-09
