frequency_hz,amplitude
0.000000000000000000e+00,1.221953945088997396e-09
4.940185546875000000e-01,2.449531391228034516e-09
9.880371093750000000e-01,2.466482611299361560e-09
1.482055664062500000e+00,2.495006259332641784e-09
1.976074218750000000e+00,2.535518862093933519e-09
2.470092773437500000e+00,2.588622089562033203e-09
2.964111328125000000e+00,2.655122690196474025e-09
3.458129882812500000e+00,2.736059767582324539e-09
3.952148437500000000e+00,2.832741138906360103e-09
4.446166992187500000e+00,2.946790984707700902e-09
4.940185546875000000e+00,3.080211914981673820e-09
5.434204101562500000e+00,3.235465491356736848e-09
5.928222656250000000e+00,3.415577074945590339e-09
6.422241210937500000e+00,3.624273171625879529e-09
6.916259765625000000e+00,3.866162572680570476e-09
7.410278320312500000e+00,4.146977685927582565e-09
7.904296875000000000e+00,4.473898961088540681e-09
8.398315429687500000e+00,4.855997487069841687e-09
8.892333984375000000e+00,5.304846081009162260e-09
9.386352539062500000e+00,5.835376998039410764e-09
9.880371093750000000e+00,6.467105951892875411e-09
1.037438964843750000e+01,7.225913441332973785e-09
1.086840820312500000e+01,8.146692991369553015e-09
1.136242675781250000e+01,9.277385007757560772e-09
1.185644531250000000e+01,1.068529289133349318e-08
1.235046386718750000e+01,1.246728926396445197e-08
1.284448242187500000e+01,1.476692047216395654e-08
1.333850097656250000e+01,1.780432231735396501e-08
1.383251953125000000e+01,2.193126552498028861e-08
1.432653808593750000e+01,2.773885368807674646e-08
1.482055664062500000e+01,3.628488644277733487e-08
1.531457519531250000e+01,4.962277947709292162e-08
1.580859375000000000e+01,7.220165129912352269e-08
1.630261230468750000e+01,1.153155094555287909e-07
1.679663085937500000e+01,2.159268997649943415e-07
1.729064941406250000e+01,5.752806208767374657e-07
1.778466796875000000e+01,2.825925773006600708e-02
1.827868652343750000e+01,5.651592925072033285e-02
1.877270507812500000e+01,2.825925774403598503e-02
1.926672363281250000e+01,5.752526441831775206e-07
1.976074218750000000e+01,2.158848425884055582e-07
2.025476074218750000e+01,1.152592605196333025e-07
2.074877929687500000e+01,7.213106114730058670e-08
2.124279785156250000e+01,4.953765934820159658e-08
2.173681640625000000e+01,3.618500707388278136e-08
2.223083496093750000e+01,2.762394371453756359e-08
2.272485351562500000e+01,2.180100966006193257e-08
2.321887207031250000e+01,1.765835914194670475e-08
2.371289062500000000e+01,1.460483996565865822e-08
2.420690917968750000e+01,1.228862997276035140e-08
2.470092773437500000e+01,1.048953866636425399e-08
