frequency_hz,amplitude
0.000000000000000000e+00,1.249337401892935906e-12
4.825134277343750000e-01,2.498682031352253916e-12
9.650268554687500000e-01,2.498686361480058889e-12
1.447540283203125000e+00,2.498695652104234548e-12
1.930053710937500000e+00,2.498700245742752599e-12
2.412567138671875000e+00,2.498714958563429289e-12
2.895080566406250000e+00,2.498680091108705539e-12
3.377593994140625000e+00,2.498692939973102624e-12
3.860107421875000000e+00,2.498710737492699550e-12
4.342620849609375000e+00,2.498682623320464608e-12
4.825134277343750000e+00,2.498710782480437027e-12
5.307647705078125000e+00,2.498703876194899211e-12
5.790161132812500000e+00,2.498709558245936239e-12
6.272674560546875000e+00,2.498706553640910985e-12
6.755187988281250000e+00,2.498669506562799290e-12
7.237701416015625000e+00,2.498719110731492265e-12
7.720214843750000000e+00,2.498679962931869049e-12
8.202728271484375000e+00,2.498724160000472295e-12
8.685241699218750000e+00,2.498769171001423250e-12
9.167755126953125000e+00,2.498738220452936978e-12
9.650268554687500000e+00,2.498749902341362162e-12
1.013278198242187500e+01,2.498761035626924568e-12
1.061529541015625000e+01,2.498745842620302569e-12
1.109780883789062500e+01,2.498741448524890533e-12
1.158032226562500000e+01,2.498758858976159192e-12
1.206283569335937500e+01,2.498783209473798723e-12
1.254534912109375000e+01,2.498752470391834005e-12
1.302786254882812500e+01,2.498750962662201092e-12
1.351037597656250000e+01,2.498760814700234000e-12
1.399288940429687500e+01,2.498763839739868522e-12
1.447540283203125000e+01,2.498750473809634089e-12
1.495791625976562500e+01,2.498815111250896342e-12
1.544042968750000000e+01,2.498777654830030218e-12
1.592294311523437500e+01,2.498789818788435418e-12
1.640545654296875000e+01,2.498793517303972280e-12
1.688796997070312500e+01,2.498822577358400495e-12
1.737048339843750000e+01,2.498790858681561618e-12
1.785299682617187500e+01,2.498807357994095600e-12
1.833551025390625000e+01,2.498830210445462979e-12
1.881802368164062500e+01,2.498811043952615154e-12
1.930053710937500000e+01,2.498813588114266002e-12
1.978305053710937500e+01,2.498820344566997209e-12
2.026556396484375000e+01,2.498850664729227092e-12
2.074807739257812500e+01,2.498857421329026811e-12
2.123059082031250000e+01,2.498853780830655742e-12
2.171310424804687500e+01,2.498869135497761810e-12
2.219561767578125000e+01,2.498849011767038647e-12
2.267813110351562500e+01,2.498889642851164124e-12
2.316064453125000000e+01,2.498878989710703773e-12
2.364315795898437500e+01,2.498955959446929854e-12
2.412567138671875000e+01,2.498853082193497193e-12
2.460818481445312500e+01,2.498898346764250431e-12
2.509069824218750000e+01,2.498934079222484059e-12
2.557321166992187500e+01,2.498929360545949554e-12
2.605572509765625000e+01,2.498952066011732635e-12
2.653823852539062500e+01,2.498963619212395937e-12
2.702075195312500000e+01,2.498919968386386873e-12
2.750326538085937500e+01,2.498952307730192337e-12
2.798577880859375000e+01,2.498985395686928631e-12
2.846829223632812500e+01,2.498964576232224768e-12
2.895080566406250000e+01,2.498979575881280646e-12
2.943331909179687500e+01,2.499010493852442718e-12
2.991583251953125000e+01,2.499028403568198255e-12
3.039834594726562500e+01,2.498967904617940346e-12
3.088085937500000000e+01,2.499072806287595902e-12
3.136337280273437500e+01,2.499026352343796090e-12
3.184588623046875000e+01,2.499031238581701030e-12
3.232839965820312500e+01,2.499048561069752535e-12
3.281091308593750000e+01,2.499060991665280314e-12
3.329342651367187500e+01,2.499063102479891342e-12
3.377593994140625000e+01,2.499129744472716474e-12
3.425845336914062500e+01,2.499108846564528260e-12
3.474096679687500000e+01,2.499084919283853908e-12
3.522348022460937500e+01,2.499128574729112547e-12
3.570599365234375000e+01,2.499145887638316026e-12
3.618850708007812500e+01,2.499151040604715096e-12
3.667102050781250000e+01,2.499119047044224183e-12
3.715353393554687500e+01,2.499179956215717680e-12
3.763604736328125000e+01,2.499207837333608434e-12
3.811856079101562500e+01,2.499238557126276625e-12
3.860107421875000000e+01,2.499246398437883772e-12
3.908358764648437500e+01,2.499249392561048364e-12
3.956610107421875000e+01,2.499233784677834445e-12
4.004861450195312500e+01,2.499248599576578319e-12
4.053112792968750000e+01,2.499269635626876064e-12
4.101364135742187500e+01,2.499277408070325792e-12
4.149615478515625000e+01,2.499312592078272287e-12
4.197866821289062500e+01,2.499334561918082703e-12
4.246118164062500000e+01,2.499356203828142794e-12
4.294369506835937500e+01,2.499322070411801488e-12
4.342620849609375000e+01,2.499379516560250287e-12
4.390872192382812500e+01,2.499376264927031587e-12
4.439123535156250000e+01,2.499400101751676207e-12
4.487374877929687500e+01,2.499399641244991789e-12
4.535626220703125000e+01,2.499405659500728392e-12
4.583877563476562500e+01,2.499419034218652176e-12
4.632128906250000000e+01,2.499434508189171829e-12
4.680380249023437500e+01,2.499460276053471552e-12
4.728631591796875000e+01,2.499502262637767270e-12
4.776882934570312500e+01,2.499491927016611995e-12
4.825134277343750000e+01,2.499523616949399973e-12
4.873385620117187500e+01,2.499553017671196248e-12
4.921636962890625000e+01,2.499558588068146961e-12
4.969888305664062500e+01,2.499583359824903614e-12
5.018139648437500000e+01,2.499597308507822028e-12
5.066390991210937500e+01,2.499616471098255078e-12
5.114642333984375000e+01,2.499647500823135109e-12
5.162893676757812500e+01,2.499613648942553969e-12
5.211145019531250000e+01,2.499645877717052637e-12
5.259396362304687500e+01,2.499680737936837524e-12
5.307647705078125000e+01,2.499673509665395019e-12
5.355899047851562500e+01,2.499711157707602220e-12
5.404150390625000000e+01,2.499743264153315813e-12
5.452401733398437500e+01,2.499745968899141736e-12
5.500653076171875000e+01,2.499771234816021730e-12
5.548904418945312500e+01,2.499793404459706445e-12
5.597155761718750000e+01,2.499781917382896402e-12
5.645407104492187500e+01,2.499825208766476205e-12
5.693658447265625000e+01,2.499864689345604426e-12
5.741909790039062500e+01,2.499840668889816305e-12
5.790161132812500000e+01,2.499881172559667669e-12
5.838412475585937500e+01,2.499935189836422528e-12
5.886663818359375000e+01,2.499930302437508206e-12
5.934915161132812500e+01,2.499945655482080519e-12
5.983166503906250000e+01,2.499976217348183776e-12
6.031417846679687500e+01,2.499951978422032456e-12
6.079669189453125000e+01,2.499983307684731955e-12
6.127920532226562500e+01,2.500037898557127125e-12
6.176171875000000000e+01,2.500042226605722349e-12
6.224423217773437500e+01,2.500094937372048453e-12
6.272674560546875000e+01,2.500065153497500471e-12
6.320925903320312500e+01,2.500118984908236623e-12
6.369177246093750000e+01,2.500129046354121910e-12
6.417428588867187500e+01,2.500148821183359707e-12
6.465679931640625000e+01,2.500184099360293229e-12
6.513931274414062500e+01,2.500193517630798261e-12
6.562182617187500000e+01,2.500225445384766713e-12
6.610433959960937500e+01,2.500228278120564260e-12
6.658685302734375000e+01,2.500264608488162243e-12
6.706936645507812500e+01,2.500282420580805865e-12
6.755187988281250000e+01,2.500308625202211217e-12
6.803439331054687500e+01,2.500341757832944833e-12
