frequency_hz,amplitude
0.000000000000000000e+00,4.815054747869353269e-12
4.942016601562500000e-01,9.630122399265287050e-12
9.884033203125000000e-01,9.630150377225794729e-12
1.482604980468750000e+00,9.630196352194353670e-12
1.976806640625000000e+00,9.630257213761845657e-12
2.471008300781250000e+00,9.630348207926615564e-12
2.965209960937500000e+00,9.630441642269631701e-12
3.459411621093750000e+00,9.630566346997874530e-12
3.953613281250000000e+00,9.630702276190665756e-12
4.447814941406250000e+00,9.630858798680312228e-12
4.942016601562500000e+00,9.631039769546629248e-12
5.436218261718750000e+00,9.631226821381412515e-12
5.930419921875000000e+00,9.631445672691726700e-12
6.424621582031250000e+00,9.631671560677932740e-12
6.918823242187500000e+00,9.631920101954398450e-12
7.413024902343750000e+00,9.632189697093275013e-12
7.907226562500000000e+00,9.632465882609162655e-12
8.401428222656250000e+00,9.632783670254558709e-12
8.895629882812500000e+00,9.633106236683115711e-12
9.389831542968750000e+00,9.633438947616872860e-12
9.884033203125000000e+00,9.633811636200247488e-12
1.037823486328125000e+01,9.634180834567397674e-12
1.087243652343750000e+01,9.634581400681559595e-12
1.136663818359375000e+01,9.634993243826896675e-12
1.186083984375000000e+01,9.635431179359668487e-12
1.235504150390625000e+01,9.635883058582147567e-12
1.284924316406250000e+01,9.636356954685681512e-12
1.334344482421875000e+01,9.636840810708273505e-12
1.383764648437500000e+01,9.637353566251650570e-12
1.433184814453125000e+01,9.637871082123587168e-12
1.482604980468750000e+01,9.638431639868419935e-12
1.532025146484375000e+01,9.638989424956601269e-12
1.581445312500000000e+01,9.639576148841712283e-12
1.630865478515625000e+01,9.640175774710821828e-12
1.680285644531250000e+01,9.640785655822334978e-12
1.729705810546875000e+01,9.641429698785848983e-12
1.779125976562500000e+01,9.642077660105467537e-12
1.828546142578125000e+01,9.642761324264704651e-12
1.877966308593750000e+01,9.643462402632074532e-12
1.927386474609375000e+01,9.644166582030368508e-12
1.976806640625000000e+01,9.644906064488023281e-12
2.026226806640625000e+01,9.645646642313118293e-12
2.075646972656250000e+01,9.646421185896414544e-12
2.125067138671875000e+01,9.647208501625394948e-12
2.174487304687500000e+01,9.648023764813683618e-12
2.223907470703125000e+01,9.648843671813148569e-12
2.273327636718750000e+01,9.649679971181498943e-12
2.322747802734375000e+01,9.650543683794097874e-12
2.372167968750000000e+01,9.651432849743401377e-12
2.421588134765625000e+01,9.652333443490353436e-12
2.471008300781250000e+01,9.653248772366204412e-12
2.520428466796875000e+01,9.654197367978991833e-12
2.569848632812500000e+01,9.655141248957377924e-12
2.619268798828125000e+01,9.656120364256115409e-12
2.668688964843750000e+01,9.657116942155822227e-12
2.718109130859375000e+01,9.658133418870231105e-12
2.767529296875000000e+01,9.659165483109430875e-12
2.816949462890625000e+01,9.660215010093067347e-12
2.866369628906250000e+01,9.661283608905452187e-12
2.915789794921875000e+01,9.662376235077552422e-12
2.965209960937500000e+01,9.663489479078523218e-12
3.014630126953125000e+01,9.664611700222833213e-12
3.064050292968750000e+01,9.665767493519309796e-12
3.113470458984375000e+01,9.666922077324784807e-12
3.162890625000000000e+01,9.668109762585370404e-12
3.212310791015625000e+01,9.669306571994263312e-12
3.261730957031250000e+01,9.670543359085589506e-12
3.311151123046875000e+01,9.671778284917202887e-12
3.360571289062500000e+01,9.673039414761245438e-12
3.409991455078125000e+01,9.674329349204727702e-12
3.459411621093750000e+01,9.675620799966480991e-12
3.508831787109375000e+01,9.676941677373813195e-12
3.558251953125000000e+01,9.678281740992688981e-12
3.607672119140625000e+01,9.679642368613120688e-12
3.657092285156250000e+01,9.681015915692067713e-12
3.706512451171875000e+01,9.682409376819979688e-12
3.755932617187500000e+01,9.683830162941201941e-12
3.805352783203125000e+01,9.685266392310227244e-12
3.854772949218750000e+01,9.686716980258135140e-12
3.904193115234375000e+01,9.688194759245300019e-12
3.953613281250000000e+01,9.689690105848030959e-12
4.003033447265625000e+01,9.691199976720368996e-12
4.052453613281250000e+01,9.692732458349417153e-12
4.101873779296875000e+01,9.694286148531898284e-12
4.151293945312500000e+01,9.695858613318318565e-12
4.200714111328125000e+01,9.697451268478004766e-12
4.250134277343750000e+01,9.699061859845443661e-12
4.299554443359375000e+01,9.700689040555361418e-12
4.348974609375000000e+01,9.702336990836310128e-12
4.398394775390625000e+01,9.704014740814479469e-12
4.447814941406250000e+01,9.705694933229800892e-12
4.497235107421875000e+01,9.707408510386137604e-12
4.546655273437500000e+01,9.709133557102022771e-12
4.596075439453125000e+01,9.710892431875123193e-12
4.645495605468750000e+01,9.712654628658115445e-12
4.694915771484375000e+01,9.714445289817639490e-12
4.744335937500000000e+01,9.716253627584402631e-12
4.793756103515625000e+01,9.718088904126883255e-12
4.843176269531250000e+01,9.719930798189854393e-12
4.892596435546875000e+01,9.721804501340263023e-12
4.942016601562500000e+01,9.723691706486087884e-12
4.991436767578125000e+01,9.725600282927258578e-12
5.040856933593750000e+01,9.727532615377147575e-12
5.090277099609375000e+01,9.729480445075403362e-12
5.139697265625000000e+01,9.731448752315832059e-12
5.189117431640625000e+01,9.733438127691018766e-12
5.238537597656250000e+01,9.735445835239851864e-12
5.287957763671875000e+01,9.737485172579879537e-12
5.337377929687500000e+01,9.739536286137052925e-12
5.386798095703125000e+01,9.741597972738083555e-12
5.436218261718750000e+01,9.743703700220696359e-12
5.485638427734375000e+01,9.745806568498236482e-12
5.535058593750000000e+01,9.747945054205840062e-12
5.584478759765625000e+01,9.750090996775693068e-12
5.633898925781250000e+01,9.752272618329060895e-12
5.683319091796875000e+01,9.754463913917608094e-12
5.732739257812500000e+01,9.756677066216021160e-12
5.782159423828125000e+01,9.758911034251276274e-12
5.831579589843750000e+01,9.761173448009234022e-12
5.880999755859375000e+01,9.763448062478315646e-12
5.930419921875000000e+01,9.765750460406631576e-12
5.979840087890625000e+01,9.768062517191047598e-12
6.029260253906250000e+01,9.770406316852547298e-12
6.078680419921875000e+01,9.772769168635176884e-12
6.128100585937500000e+01,9.775139174315702132e-12
6.177520751953125000e+01,9.777559634184044146e-12
6.226940917968750000e+01,9.779977549868666392e-12
6.276361083984375000e+01,9.782417138304650237e-12
6.325781250000000000e+01,9.784891819668778709e-12
6.375201416015625000e+01,9.787375733257114582e-12
6.424621582031250000e+01,9.789886715651793728e-12
6.474041748046875000e+01,9.792421537466197141e-12
6.523461914062500000e+01,9.794967937746491579e-12
6.572882080078125000e+01,9.797539824776535394e-12
6.622302246093750000e+01,9.800139131661285253e-12
6.671722412109375000e+01,9.802752653324106397e-12
6.721142578125000000e+01,9.805395671787573136e-12
