frequency_hz,amplitude
0.000000000000000000e+00,4.199174966369805972e-12
4.935607910156250555e-01,8.412521109391784050e-12
9.871215820312501110e-01,8.455336638147439147e-12
1.480682373046875222e+00,8.527697971058864192e-12
1.974243164062500222e+00,8.631069275915631870e-12
2.467803955078125444e+00,8.767404391796917819e-12
2.961364746093750444e+00,8.939108108644653726e-12
3.454925537109375444e+00,9.148911737943476480e-12
3.948486328125000444e+00,9.399790591648944297e-12
4.442047119140625888e+00,9.694883285469471388e-12
4.935607910156250888e+00,1.003732802389832273e-11
5.429168701171875888e+00,1.043026424262730089e-11
5.922729492187500888e+00,1.087667491068099585e-11
6.416290283203125888e+00,1.137942601724572564e-11
6.909851074218750888e+00,1.194116467108580624e-11
7.403411865234375888e+00,1.256438424496685867e-11
7.896972656250000888e+00,1.325137274282605186e-11
8.390533447265626776e+00,1.400429992433343134e-11
8.884094238281251776e+00,1.482518779861722190e-11
9.377655029296876776e+00,1.571605632152589220e-11
9.871215820312501776e+00,1.667883584203547458e-11
1.036477661132812678e+01,1.771552905499391594e-11
1.085833740234375178e+01,1.882814042880607411e-11
1.135189819335937678e+01,2.001881955363218022e-11
1.184545898437500178e+01,2.128977349804471635e-11
1.233901977539062678e+01,2.264341286553169851e-11
1.283258056640625178e+01,2.408231113103265854e-11
1.332614135742187678e+01,2.560917991426527339e-11
1.381970214843750178e+01,2.722700122157599824e-11
1.431326293945312678e+01,2.893895669041729782e-11
1.480682373046875178e+01,3.074846892376110107e-11
1.530038452148437678e+01,3.265922717279212323e-11
1.579394531250000178e+01,3.467524752761144058e-11
1.628750610351562855e+01,3.680073100514523811e-11
1.678106689453125355e+01,3.904033139843386833e-11
1.727462768554687855e+01,4.139892656778121299e-11
1.776818847656250355e+01,4.388181443789366258e-11
1.826174926757812855e+01,4.649465912830688676e-11
1.875531005859375355e+01,4.924351278502618396e-11
1.924887084960937855e+01,5.213488701720504866e-11
1.974243164062500355e+01,5.517574113070596291e-11
2.023599243164062855e+01,5.837355138035929692e-11
2.072955322265625355e+01,6.173630885965443049e-11
2.122311401367187855e+01,6.527258134976090937e-11
2.171667480468750355e+01,6.899156141461293606e-11
2.221023559570312855e+01,7.290309523076546250e-11
2.270379638671875355e+01,7.701777118036865377e-11
2.319735717773437855e+01,8.134692095137150769e-11
2.369091796875000355e+01,8.590275037932221003e-11
2.418447875976562855e+01,9.069836283344980676e-11
2.467803955078125355e+01,9.574782741183124031e-11
2.517160034179687855e+01,1.010663177417380960e-10
2.566516113281250355e+01,1.066701759276428960e-10
2.615872192382812855e+01,1.125769894753403220e-10
2.665228271484375355e+01,1.188057823294664348e-10
2.714584350585937855e+01,1.253770365741044513e-10
2.763940429687500355e+01,1.323129715806612180e-10
2.813296508789062855e+01,1.396375500218120706e-10
2.862652587890625355e+01,1.473768030390988197e-10
2.912008666992187855e+01,1.555589239699045614e-10
2.961364746093750355e+01,1.642145294562664068e-10
3.010720825195312855e+01,1.733768962903363284e-10
3.060076904296875355e+01,1.830823039230453082e-10
3.109432983398437855e+01,1.933701998457263044e-10
3.158789062500000355e+01,2.042837491428635563e-10
3.208145141601563211e+01,2.158700448792783341e-10
3.257501220703125711e+01,2.281807001013364211e-10
3.306857299804688211e+01,2.412722812201136941e-10
3.356213378906250711e+01,2.552069286781440442e-10
3.405569458007813211e+01,2.700530057933422662e-10
3.454925537109375711e+01,2.858858204581396417e-10
3.504281616210938211e+01,3.027885412708868130e-10
3.553637695312500711e+01,3.208531926843083905e-10
3.602993774414063211e+01,3.401817507283286493e-10
3.652349853515625711e+01,3.608874806592723830e-10
3.701705932617188211e+01,3.830965037363115181e-10
3.751062011718750711e+01,4.069494908979229376e-10
3.800418090820313211e+01,4.326038245653328365e-10
3.849774169921875711e+01,4.602359032683317802e-10
3.899130249023438211e+01,4.900440809586774869e-10
3.948486328125000711e+01,5.222519038038665782e-10
3.997842407226563211e+01,5.571121439984275807e-10
4.047198486328125711e+01,5.949113829843420340e-10
4.096554565429688211e+01,6.359756711813005154e-10
4.145910644531250711e+01,6.806771457035325901e-10
4.195266723632813211e+01,7.294421167368163752e-10
4.244622802734375711e+01,7.827607095443850439e-10
4.293978881835938211e+01,8.411987837498305682e-10
4.343334960937500711e+01,9.054122561350233163e-10
4.392691040039063211e+01,9.761649948367264252e-10
4.442047119140625711e+01,1.054350675144669952e-09
4.491403198242188211e+01,1.141020293203127783e-09
4.540759277343750711e+01,1.237416500727796490e-09
4.590115356445313211e+01,1.345017127226324863e-09
4.639471435546875711e+01,1.465590662526577216e-09
4.688827514648438211e+01,1.601267618050875589e-09
