frequency_hz,amplitude
0.000000000000000000e+00,4.316075477404195539e-13
4.908447265625000000e-01,2.111763961354873198e-12
9.816894531250000000e-01,3.951601717989324050e-12
1.472534179687500000e+00,5.852295031138937445e-12
1.963378906250000000e+00,7.773301691116069497e-12
2.454223632812500000e+00,9.707102592886775830e-12
2.945068359375000000e+00,1.165219083909653929e-11
3.435913085937500000e+00,1.360888583272285647e-11
3.926757812500000000e+00,1.557816830386589188e-11
4.417602539062500000e+00,1.756137089267379221e-11
4.908447265625000000e+00,1.956000074721287015e-11
5.399291992187500000e+00,2.157567494524616467e-11
5.890136718750000000e+00,2.361008577970115662e-11
6.380981445312500000e+00,2.566502483270937500e-11
6.871826171875000000e+00,2.774230724761547254e-11
7.362670898437500000e+00,2.984384361648422271e-11
7.853515625000000000e+00,3.197158542371063269e-11
8.344360351562500000e+00,3.412756658659603599e-11
8.835205078125000000e+00,3.631386333579813368e-11
9.326049804687500000e+00,3.853264989390865787e-11
9.816894531250000000e+00,4.078616871813436835e-11
1.030773925781250000e+01,4.307673026685697083e-11
1.079858398437500000e+01,4.540675316044359100e-11
1.128942871093750000e+01,4.777873906229263687e-11
1.178027343750000000e+01,5.019529343122009915e-11
1.227111816406250000e+01,5.265912404596209745e-11
1.276196289062500000e+01,5.517308688912738632e-11
1.325280761718750000e+01,5.774011748414719253e-11
1.374365234375000000e+01,6.036332114454373409e-11
1.423449707031250000e+01,6.304592263111970746e-11
1.472534179687500000e+01,6.579133066908172922e-11
1.521618652343750000e+01,6.860309689434494278e-11
1.570703125000000000e+01,7.148495878464591354e-11
1.619787597656250000e+01,7.444086984051269070e-11
1.668872070312500000e+01,7.747493968539000976e-11
1.717956542968750000e+01,8.059155952682332346e-11
1.767041015625000000e+01,8.379530231186531450e-11
1.816125488281250000e+01,8.709105159337962713e-11
1.865209960937500000e+01,9.048393271634474568e-11
1.914294433593750000e+01,9.397938771006210948e-11
1.963378906250000000e+01,9.758318213883687840e-11
2.012463378906250000e+01,1.013013925304824596e-10
2.061547851562500000e+01,1.051405412546733174e-10
2.110632324218750000e+01,1.091074736251384977e-10
2.159716796875000000e+01,1.132095517008471741e-10
2.208801269531250000e+01,1.174545474622690711e-10
2.257885742187500000e+01,1.218507721564312576e-10
2.306970214843750000e+01,1.264071065695513361e-10
2.356054687500000000e+01,1.311330046926789958e-10
2.405139160156250000e+01,1.360385976520358589e-10
2.454223632812500000e+01,1.411347303612772701e-10
2.503308105468750000e+01,1.464329943784291735e-10
2.552392578125000000e+01,1.519458604986942575e-10
2.601477050781250000e+01,1.576866942762220682e-10
2.650561523437500000e+01,1.636698763078109098e-10
2.699645996093750000e+01,1.699108821260241101e-10
2.748730468750000000e+01,1.764263994884488340e-10
2.797814941406250000e+01,1.832344236491794590e-10
2.846899414062500000e+01,1.903544015420266866e-10
2.895983886718750000e+01,1.978073655227811560e-10
2.945068359375000000e+01,2.056161081067655318e-10
2.994152832031250000e+01,2.138053543480793105e-10
3.043237304687500000e+01,2.224019335574065385e-10
3.092321777343750000e+01,2.314350782951320130e-10
