frequency_hz,amplitude
0.000000000000000000e+00,6.425336851829935523e-11
4.825134277343750000e-01,1.285679641397717738e-10
9.650268554687500000e-01,1.287516583254706865e-10
1.447540283203125000e+00,1.290579295616472137e-10
1.930053710937500000e+00,1.294869833271833880e-10
2.412567138671875000e+00,1.300390897745129195e-10
2.895080566406250000e+00,1.307145724653035278e-10
3.377593994140625000e+00,1.315138912164838911e-10
3.860107421875000000e+00,1.324375320184486421e-10
4.342620849609375000e+00,1.334861862942179896e-10
4.825134277343750000e+00,1.346605389927691856e-10
5.307647705078125000e+00,1.359614644151408628e-10
5.790161132812500000e+00,1.373899087837545370e-10
6.272674560546875000e+00,1.389469875445264522e-10
6.755187988281250000e+00,1.406339201040482553e-10
7.237701416015625000e+00,1.424521396482891408e-10
7.720214843750000000e+00,1.444031560850381216e-10
8.202728271484375000e+00,1.464887072075730515e-10
8.685241699218750000e+00,1.487107340506200089e-10
9.167755126953125000e+00,1.510712714239282207e-10
9.650268554687500000e+00,1.535726822831138897e-10
1.013278198242187500e+01,1.562174652314780497e-10
1.061529541015625000e+01,1.590083967133184583e-10
1.109780883789062500e+01,1.619484470668457922e-10
1.158032226562500000e+01,1.650409086442346923e-10
1.206283569335937500e+01,1.682892658377750936e-10
1.254534912109375000e+01,1.716973756566116041e-10
1.302786254882812500e+01,1.752693143526801486e-10
1.351037597656250000e+01,1.790095295441225770e-10
1.399288940429687500e+01,1.829227733627323647e-10
1.447540283203125000e+01,1.870141823462652033e-10
1.495791625976562500e+01,1.912892079179306044e-10
1.544042968750000000e+01,1.957537427152087898e-10
1.592294311523437500e+01,2.004140727080160761e-10
1.640545654296875000e+01,2.052769240544812647e-10
1.688796997070312500e+01,2.103494268729530080e-10
1.737048339843750000e+01,2.156393279434509520e-10
1.785299682617187500e+01,2.211547566796410716e-10
1.833551025390625000e+01,2.269044312664865661e-10
1.881802368164062500e+01,2.328977007254861317e-10
1.930053710937500000e+01,2.391444560744457393e-10
1.978305053710937500e+01,2.456552979661480676e-10
2.026556396484375000e+01,2.524414814824377165e-10
2.074807739257812500e+01,2.595150333970088194e-10
2.123059082031250000e+01,2.668887782798663765e-10
2.171310424804687500e+01,2.745763643025585165e-10
2.219561767578125000e+01,2.825923878376618358e-10
2.267813110351562500e+01,2.909523651433157128e-10
2.316064453125000000e+01,2.996729237519270016e-10
2.364315795898437500e+01,3.087717619120601347e-10
2.412567138671875000e+01,3.182677771978355264e-10
2.460818481445312500e+01,3.281812329146522593e-10
2.509069824218750000e+01,3.385337144100641691e-10
2.557321166992187500e+01,3.493483677646500315e-10
2.605572509765625000e+01,3.606499346891731955e-10
2.653823852539062500e+01,3.724649553038076933e-10
2.702075195312500000e+01,3.848218718264631591e-10
2.750326538085937500e+01,3.977511888160872260e-10
2.798577880859375000e+01,4.112856603828414546e-10
2.846829223632812500e+01,4.254605262853827947e-10
2.895080566406250000e+01,4.403136005606083346e-10
2.943331909179687500e+01,4.558857103492507836e-10
2.991583251953125000e+01,4.722207596206648178e-10
3.039834594726562500e+01,4.893661646641104024e-10
3.088085937500000000e+01,5.073730975595333999e-10
3.136337280273437500e+01,5.262968995948270594e-10
3.184588623046875000e+01,5.461974662642295690e-10
3.232839965820312500e+01,5.671396698683188913e-10
3.281091308593750000e+01,5.891939054935275240e-10
3.329342651367187500e+01,6.124366536162774807e-10
3.377593994140625000e+01,6.369510553346793469e-10
3.425845336914062500e+01,6.628276763206269957e-10
3.474096679687500000e+01,6.901653231625213201e-10
3.522348022460937500e+01,7.190718251981973780e-10
3.570599365234375000e+01,7.496652137674139734e-10
3.618850708007812500e+01,7.820747095057565453e-10
3.667102050781250000e+01,8.164421542953148166e-10
3.715353393554687500e+01,8.529233722403903648e-10
3.763604736328125000e+01,8.916899740167530926e-10
3.811856079101562500e+01,9.329311380301757825e-10
3.860107421875000000e+01,9.768559431407987721e-10
3.908358764648437500e+01,1.023695733790157381e-09
3.956610107421875000e+01,1.073707168535351216e-09
4.004861450195312500e+01,1.127175358449065136e-09
4.053112792968750000e+01,1.184417872696394923e-09
4.101364135742187500e+01,1.245789047711784751e-09
