frequency_hz,amplitude
0.000000000000000000e+00,1.135102963021128881e-10
4.913330078125000000e-01,2.271892664342889718e-10
9.826660156250000000e-01,2.276962933347627584e-10
1.473999023437500000e+00,2.285446916480788655e-10
1.965332031250000000e+00,2.297395387333295836e-10
2.456665039062500000e+00,2.312880171522948811e-10
2.947998046875000000e+00,2.331995010311131800e-10
3.439331054687500000e+00,2.354856586492989310e-10
3.930664062500000000e+00,2.381605933388385707e-10
4.421997070312500000e+00,2.412410158102021713e-10
4.913330078125000000e+00,2.447464308456470340e-10
5.404663085937500000e+00,2.486993908006478135e-10
5.895996093750000000e+00,2.531257699008485581e-10
6.387329101562500000e+00,2.580551278444298324e-10
6.878662109375000000e+00,2.635210782609928543e-10
7.369995117187500000e+00,2.695617613451935069e-10
7.861328125000000000e+00,2.762204269435522366e-10
8.352661132812500000e+00,2.835460408025032373e-10
8.843994140625000000e+00,2.915940673045006156e-10
9.335327148437500000e+00,3.004273790403043584e-10
9.826660156250000000e+00,3.101172853485038203e-10
1.031799316406250000e+01,3.207448667025815438e-10
1.080932617187500000e+01,3.324023900180587556e-10
1.130065917968750000e+01,3.451952049128252435e-10
1.179199218750000000e+01,3.592438149318402952e-10
1.228332519531250000e+01,3.746865513073724639e-10
1.277465820312500000e+01,3.916826765837715037e-10
1.326599121093750000e+01,4.104162531203531683e-10
1.375732421875000000e+01,4.311008233836392398e-10
1.424865722656250000e+01,4.539851667703991246e-10
1.473999023437500000e+01,4.793605065810384495e-10
1.523132324218750000e+01,5.075693636918210991e-10
1.572265625000000000e+01,5.390167939202274394e-10
1.621398925781250000e+01,5.741845499426652984e-10
1.670532226562500000e+01,6.136491096457081120e-10
1.719665527343750000e+01,6.581049702425758270e-10
1.768798828125000000e+01,7.083947899278722369e-10
1.817932128906250000e+01,7.655490481919095487e-10
1.867065429687500000e+01,8.308385799309245039e-10
1.916198730468750000e+01,9.058451825327498635e-10
1.965332031250000000e+01,9.925576568967079083e-10
2.014465332031250000e+01,1.093504379909561519e-09
2.063598632812500000e+01,1.211939189843571838e-09
2.112731933593750000e+01,1.352106595871116960e-09
2.161865234375000000e+01,1.519627675873580623e-09
2.210998535156250000e+01,1.722073519535905969e-09
2.260131835937500000e+01,1.969838843987046220e-09
2.309265136718750000e+01,2.277509616597763427e-09
2.358398437500000000e+01,2.666072981250915581e-09
2.407531738281250000e+01,3.166620807666955342e-09
2.456665039062500000e+01,3.826827000062378914e-09
2.505798339843750000e+01,4.722865907336045426e-09
2.554931640625000000e+01,5.982730809916915258e-09
2.604064941406250000e+01,7.835462026066972800e-09
2.653198242187500000e+01,1.072566721132358743e-08
2.702331542968750000e+01,1.561666415229083845e-08
2.751464843750000000e+01,2.495380585554245897e-08
2.800598144531250000e+01,4.674012297724880404e-08
2.849731445312500000e+01,1.245485668999955614e-07
2.898864746093750000e+01,6.118613255711521579e-03
2.947998046875000000e+01,1.223666653297975603e-02
2.997131347656250000e+01,6.118613254362516470e-03
3.046264648437500000e+01,1.245512667119139870e-07
3.095397949218750000e+01,4.674417719309901921e-08
3.144531250000000000e+01,2.495921983443459512e-08
3.193664550781250000e+01,1.562344500599734059e-08
3.242797851562500000e+01,1.073382372813600466e-08
3.291931152343750000e+01,7.845004653305050526e-09
3.341064453125000000e+01,5.993671560656637440e-09
3.390197753906250000e+01,4.735218307355565445e-09
3.439331054687500000e+01,3.840605992622561822e-09
3.488464355468750000e+01,3.181842643803586167e-09
3.537597656250000000e+01,2.682755152312402896e-09
3.586730957031250000e+01,2.295670693065852882e-09
3.635864257812500000e+01,1.989498388350162904e-09
3.684997558593750000e+01,1.743251927980540968e-09
3.734130859375000000e+01,1.542346049559617868e-09
3.783264160156250000e+01,1.376386613516197789e-09
3.832397460937500000e+01,1.237802900843991508e-09
3.881530761718750000e+01,1.120974141881243574e-09
3.930664062500000000e+01,1.021655908564075818e-09
3.979797363281250000e+01,9.365943154333072515e-10
4.028930664062500000e+01,8.632608201041419437e-10
4.078063964843750000e+01,7.996662590849612024e-10
4.127197265625000000e+01,7.442284174221912097e-10
4.176330566406250000e+01,6.956758573873317176e-10
4.225463867187500000e+01,6.529774428893540019e-10
4.274597167968750000e+01,6.152897367168782024e-10
4.323730468750000000e+01,5.819174092019820887e-10
4.372863769531250000e+01,5.522830966037820399e-10
4.421997070312500000e+01,5.259041326263199587e-10
4.471130371093750000e+01,5.023745528864993727e-10
4.520263671875000000e+01,4.813509148677163867e-10
4.569396972656250000e+01,4.625411496776592873e-10
4.618530273437500000e+01,4.456956614921590929e-10
4.667663574218750000e+01,4.306001869054474942e-10
4.716796875000000000e+01,4.170700458024050870e-10
4.765930175781250000e+01,4.049454616471718085e-10
4.815063476562500000e+01,3.940877475444780458e-10
4.864196777343750000e+01,3.843761593263825486e-10
4.913330078125000000e+01,3.757053139428862388e-10
4.962463378906250000e+01,3.679830210693379603e-10
5.011596679687500000e+01,3.611285127243577116e-10
5.060729980468750000e+01,3.550709373991658915e-10
5.109863281250000000e+01,3.497480829748182625e-10
5.158996582031250000e+01,3.451053188315610085e-10
5.208129882812500000e+01,3.410947181257385921e-10
5.257263183593750000e+01,3.376742532736988926e-10
5.306396484375000000e+01,3.348071893892012521e-10
5.355529785156250000e+01,3.324614995947685297e-10
5.404663085937500000e+01,3.306094058240129713e-10
5.453796386718750000e+01,3.292269936233019684e-10
5.502929687500000000e+01,3.282938473163800041e-10
5.552062988281250000e+01,3.277927650936427645e-10
5.601196289062500000e+01,3.277095452441017104e-10
5.650329589843750000e+01,3.280327473854004753e-10
5.699462890625000000e+01,3.287535656247459794e-10
5.748596191406250000e+01,3.298656592939574769e-10
5.797729492187500000e+01,3.313650789300148573e-10
5.846862792968750000e+01,3.332501847783231532e-10
5.895996093750000000e+01,3.355215900491084160e-10
5.945129394531250000e+01,3.381821528698963393e-10
5.994262695312500000e+01,3.412369688958232750e-10
6.043395996093750000e+01,3.446934153281025224e-10
6.092529296875000000e+01,3.485611811128379428e-10
6.141662597656250000e+01,3.528523636730675349e-10
6.190795898437500000e+01,3.575815787384756644e-10
6.239929199218750000e+01,3.627660850130472878e-10
6.289062500000000000e+01,3.684259693084432756e-10
6.338195800781250000e+01,3.745843333549171972e-10
6.387329101562500000e+01,3.812675609517610494e-10
6.436462402343750000e+01,3.885055932428567318e-10
6.485595703125000000e+01,3.963322646499863031e-10
6.534729003906250000e+01,4.047857097189254987e-10
6.583862304687500000e+01,4.139088235134777107e-10
6.632995605468750000e+01,4.237498028353392880e-10
6.682128906250000000e+01,4.343627526807168842e-10
6.731262207031250000e+01,4.458084626545222602e-10
6.780395507812500000e+01,4.581552066692001107e-10
6.829528808593750000e+01,4.714797905937720654e-10
6.878662109375000000e+01,4.858686847024494158e-10
6.927795410156250000e+01,5.014194126180740667e-10
6.976928710937500000e+01,5.182421645767914326e-10
7.026062011718750000e+01,5.364617311714162496e-10
7.075195312500000000e+01,5.562197156723635664e-10
7.124328613281250000e+01,5.776773043174952451e-10
7.173461914062500000e+01,6.010184450789204330e-10
7.222595214843750000e+01,6.264537420115218447e-10
7.271728515625000000e+01,6.542251257516423974e-10
7.320861816406250000e+01,6.846115368466742963e-10
7.369995117187500000e+01,7.179358303764374256e-10
7.419128417968750000e+01,7.545732770420075497e-10
7.468261718750000000e+01,7.949619855015648573e-10
7.517395019531250000e+01,8.396159340856081107e-10
7.566528320312500000e+01,8.891411924732048077e-10
7.615661621093750000e+01,9.442563434937503828e-10
7.664794921875000000e+01,1.005818487222485124e-09
7.713928222656250000e+01,1.074856422325749322e-09
7.763061523437500000e+01,1.152613560556283254e-09
7.812194824218750000e+01,1.240603897331388412e-09
7.861328125000000000e+01,1.340685737301900723e-09
7.910461425781250000e+01,1.455160018852585568e-09
7.959594726562500000e+01,1.586902967168719960e-09
8.008728027343750000e+01,1.739547576983903475e-09
8.057861328125000000e+01,1.917735493673685297e-09
8.106994628906250000e+01,2.127472464610589026e-09
8.156127929687500000e+01,2.376638745088115692e-09
8.205261230468750000e+01,2.675737117584170318e-09
8.254394531250000000e+01,3.039013371818802820e-09
8.303527832031250000e+01,3.486177594610459339e-09
8.352661132812500000e+01,4.045124372973639456e-09
8.401794433593750000e+01,4.756373509680025351e-09
8.450927734375000000e+01,5.680597205196132243e-09
8.500061035156250000e+01,6.911952089644131086e-09
8.549194335937500000e+01,8.602959757587678706e-09
8.598327636718750000e+01,1.101396854717787246e-08
8.647460937500000000e+01,1.461948433540174098e-08
8.696594238281250000e+01,2.036073890940049800e-08
8.745727539062500000e+01,3.033065427719112598e-08
8.794860839843750000e+01,5.001368969298829011e-08
8.843994140625000000e+01,9.809427085873888120e-08
8.893127441406250000e+01,2.818271909815465974e-07
8.942260742187500000e+01,1.623258878806421723e-02
8.991394042968750000e+01,3.884676134847160622e-02
9.040527343750000000e+01,2.902468188819748440e-02
9.089660644531250000e+01,6.423155106713064437e-03
9.138793945312500000e+01,1.678458950997409842e-08
9.187927246093750000e+01,1.850708206311893437e-08
9.237060546875000000e+01,1.578776816342395702e-08
9.286193847656250000e+01,1.238261153576548413e-08
