frequency_hz,amplitude
0.000000000000000000e+00,5.041523312390818156e-10
4.925537109375000000e-01,1.009248285963353686e-09
9.851074218750000000e-01,1.012080974772671726e-09
1.477661132812500000e+00,1.016808009281194062e-09
1.970214843750000000e+00,1.023438480404104804e-09
2.462768554687500000e+00,1.031985271303306696e-09
2.955322265625000000e+00,1.042465481222002342e-09
3.447875976562500000e+00,1.054900804292094401e-09
3.940429687500000000e+00,1.069317834505496083e-09
4.432983398437500000e+00,1.085748698753786748e-09
4.925537109375000000e+00,1.104231511697897526e-09
5.418090820312500000e+00,1.124811127981279193e-09
5.910644531250000000e+00,1.147539724820992185e-09
6.403198242187500000e+00,1.172477598471015500e-09
6.895751953125000000e+00,1.199694098240692597e-09
7.388305664062500000e+00,1.229268419251990528e-09
7.880859375000000000e+00,1.261290630375489342e-09
8.373413085937500000e+00,1.295862859994400847e-09
8.865966796875000000e+00,1.333100387600151097e-09
9.358520507812500000e+00,1.373133159376387923e-09
9.851074218750000000e+00,1.416107116065838819e-09
1.034362792968750000e+01,1.462186074619014552e-09
1.083618164062500000e+01,1.511553441904734980e-09
1.132873535156250000e+01,1.564414586142932236e-09
1.182128906250000000e+01,1.620999096785092041e-09
1.231384277343750000e+01,1.681563737545016290e-09
1.280639648437500000e+01,1.746395553301708698e-09
1.329895019531250000e+01,1.815815665462062951e-09
1.379150390625000000e+01,1.890183391034334128e-09
1.428405761718750000e+01,1.969901313581573595e-09
1.477661132812500000e+01,2.055420919282862001e-09
1.526916503906250000e+01,2.147249267553839840e-09
1.576171875000000000e+01,2.245956795120813719e-09
1.625427246093750000e+01,2.352186378046440853e-09
1.674682617187500000e+01,2.466664216683772148e-09
1.723937988281250000e+01,2.590212360804781037e-09
1.773193359375000000e+01,2.723763886445647787e-09
1.822448730468750000e+01,2.868380679122335835e-09
1.871704101562500000e+01,3.025275005314426344e-09
1.920959472656250000e+01,3.195835114907333699e-09
1.970214843750000000e+01,3.381656449788735786e-09
2.019470214843750000e+01,3.584579244123069736e-09
2.068725585937500000e+01,3.806734576862985229e-09
2.117980957031250000e+01,4.050600825140072186e-09
2.167236328125000000e+01,4.319073343316493860e-09
2.216491699218750000e+01,4.615551087197798234e-09
2.265747070312500000e+01,4.944044898343837724e-09
2.315002441406250000e+01,5.309314221070386108e-09
2.364257812500000000e+01,5.717040578903280142e-09
2.413513183593750000e+01,6.174049865927141578e-09
2.462768554687500000e+01,6.688599967086056851e-09
2.512023925781250000e+01,7.270756137930094250e-09
2.561279296875000000e+01,7.932886283110110870e-09
2.610534667968750000e+01,8.690322293351806047e-09
2.659790039062500000e+01,9.562253587218580174e-09
2.709045410156250000e+01,1.057295110501750793e-08
2.758300781250000000e+01,1.175346935899215238e-08
2.807556152343750000e+01,1.314405155138394678e-08
2.856811523437500000e+01,1.479759064462404626e-08
2.906066894531250000e+01,1.678470997352489132e-08
2.955322265625000000e+01,1.920139105227949215e-08
3.004577636718750000e+01,2.218071697057164451e-08
3.053833007812500000e+01,2.591147595338538379e-08
3.103088378906250000e+01,3.066861264992248124e-08
3.152343750000000000e+01,3.686499160312923438e-08
3.201599121093750000e+01,4.514337025420321145e-08
3.250854492187500000e+01,5.654863342318168168e-08
3.300109863281250000e+01,7.287150061133135723e-08
3.349365234375000000e+01,9.739055079204893890e-08
3.398620605468750000e+01,1.366431312884975823e-07
3.447875976562500000e+01,2.052537861494480951e-07
3.497131347656250000e+01,3.418196493325273178e-07
3.546386718750000000e+01,6.789632424569163004e-07
3.595642089843750000e+01,1.986084377416682085e-06
3.644897460937500000e+01,1.180570941901806781e-01
3.694152832031250000e+01,2.906289751107223318e-01
3.743408203125000000e+01,2.271067016740518918e-01
3.792663574218750000e+01,5.453032990726960905e-02
3.841918945312500000e+01,2.086047011438959769e-07
3.891174316406250000e+01,6.449528517353147878e-08
3.940429687500000000e+01,7.849060179408798134e-08
3.989685058593750000e+01,6.733587247823668184e-08
4.038940429687500000e+01,5.516330070745745402e-08
4.088195800781250000e+01,4.517783655840110699e-08
4.137451171875000000e+01,3.738572669227249059e-08
4.186706542968750000e+01,3.133000522664181825e-08
4.235961914062500000e+01,2.658233393010235149e-08
4.285217285156250000e+01,2.281372676948684305e-08
4.334472656250000000e+01,1.978333473201719526e-08
4.383728027343750000e+01,1.731629792658614242e-08
4.432983398437500000e+01,1.528498680329397215e-08
4.482238769531250000e+01,1.359527627049302234e-08
4.531494140625000000e+01,1.217692089019082581e-08
4.580749511718750000e+01,1.097687271034153981e-08
4.630004882812500000e+01,9.954629378081243843e-09
4.679260253906250000e+01,9.078970653880644566e-09
4.728515625000000000e+01,8.325645948168483200e-09
4.777770996093750000e+01,7.675720122288585579e-09
4.827026367187500000e+01,7.114379261742010116e-09
4.876281738281250000e+01,6.630062076828834291e-09
4.925537109375000000e+01,6.213824116501002955e-09
4.974792480468750000e+01,5.858870026443452566e-09
5.024047851562500000e+01,5.560206793958104461e-09
5.073303222656250000e+01,5.314383957061934976e-09
5.122558593750000000e+01,5.119294451879943079e-09
5.171813964843750000e+01,4.974017360986249078e-09
5.221069335937500000e+01,4.878689691008022868e-09
5.270324707031250000e+01,4.834402305374203693e-09
5.319580078125000000e+01,4.843123624668027645e-09
5.368835449218750000e+01,4.907663931487235089e-09
5.418090820312500000e+01,5.031700612545435267e-09
5.467346191406250000e+01,5.219888317942370251e-09
5.516601562500000000e+01,5.478078203558686106e-09
5.565856933593750000e+01,5.813667815459378611e-09
5.615112304687500000e+01,6.236104945821293576e-09
5.664367675781250000e+01,6.757576699430883948e-09
5.713623046875000000e+01,7.393936908140887890e-09
5.762878417968750000e+01,8.165960280177353522e-09
5.812133789062500000e+01,9.101070248048780158e-09
5.861389160156250000e+01,1.023577477302783803e-08
5.910644531250000000e+01,1.161918840003388316e-08
5.959899902343750000e+01,1.331825533396493016e-08
6.009155273437500000e+01,1.542570312168566632e-08
6.058410644531250000e+01,1.807250247054369241e-08
6.107666015625000000e+01,2.144801805216020981e-08
