frequency_hz,amplitude
0.000000000000000000e+00,1.044456729050965975e-11
4.834594726562500555e-01,2.088929964748033319e-11
9.669189453125001110e-01,2.088975739030447120e-11
1.450378417968750222e+00,2.089052720723103100e-11
1.933837890625000222e+00,2.089160867401904510e-11
2.417297363281250444e+00,2.089298979361604187e-11
2.900756835937500444e+00,2.089468715456995122e-11
3.384216308593750444e+00,2.089669144744401667e-11
3.867675781250000444e+00,2.089899750217805690e-11
4.351135253906250888e+00,2.090162347605537375e-11
4.834594726562500888e+00,2.090454998420346414e-11
5.318054199218750888e+00,2.090779187052926124e-11
5.801513671875000888e+00,2.091133353616549589e-11
6.284973144531250888e+00,2.091518729327613104e-11
6.768432617187500888e+00,2.091935907560361537e-11
7.251892089843750888e+00,2.092383324251793323e-11
7.735351562500000888e+00,2.092862206200576414e-11
8.218811035156251776e+00,2.093372114059491124e-11
8.702270507812501776e+00,2.093913270578857217e-11
9.185729980468751776e+00,2.094485279361521657e-11
9.669189453125001776e+00,2.095088150935938802e-11
1.015264892578125178e+01,2.095724563737258964e-11
1.063610839843750178e+01,2.096389281512740094e-11
1.111956787109375178e+01,2.097086629486439320e-11
1.160302734375000178e+01,2.097816404168658590e-11
1.208648681640625178e+01,2.098575551922980279e-11
1.256994628906250178e+01,2.099367817563688184e-11
1.305340576171875178e+01,2.100191267021210903e-11
1.353686523437500178e+01,2.101046297502373320e-11
1.402032470703125178e+01,2.101932890565147165e-11
1.450378417968750178e+01,2.102851423356256823e-11
1.498724365234375178e+01,2.103802389468641377e-11
1.547070312500000178e+01,2.104784759887034518e-11
1.595416259765625178e+01,2.105799044766663767e-11
1.643762207031250355e+01,2.106845654327176510e-11
1.692108154296875355e+01,2.107924379727034874e-11
1.740454101562500355e+01,2.109035081989456024e-11
1.788800048828125355e+01,2.110179095297777108e-11
1.837145996093750355e+01,2.111354600958666822e-11
1.885491943359375355e+01,2.112562335942073185e-11
1.933837890625000355e+01,2.113804578624857184e-11
1.982183837890625355e+01,2.115077331763779110e-11
2.030529785156250355e+01,2.116383654808262851e-11
2.078875732421875355e+01,2.117723692716545402e-11
2.127221679687500355e+01,2.119096707712336622e-11
2.175567626953125355e+01,2.120502152700436982e-11
2.223913574218750355e+01,2.121941402572443801e-11
2.272259521484375355e+01,2.123413608537730510e-11
2.320605468750000355e+01,2.124919476610854733e-11
2.368951416015625355e+01,2.126458781139201047e-11
2.417297363281250355e+01,2.128031454276118941e-11
2.465643310546875355e+01,2.129639426286697005e-11
2.513989257812500355e+01,2.131280590261897619e-11
2.562335205078125355e+01,2.132955376038278546e-11
2.610681152343750355e+01,2.134664753138844705e-11
2.659027099609375355e+01,2.136408856579036178e-11
2.707373046875000355e+01,2.138187004395415637e-11
2.755718994140625355e+01,2.139999664046744923e-11
2.804064941406250355e+01,2.141847795712598393e-11
2.852410888671875355e+01,2.143730080669808694e-11
2.900756835937500355e+01,2.145648250081109714e-11
2.949102783203125355e+01,2.147602137135433513e-11
2.997448730468750355e+01,2.149590663611167055e-11
3.045794677734375355e+01,2.151614533457934672e-11
3.094140625000000355e+01,2.153675356921162427e-11
3.142486572265625355e+01,2.155770222682021598e-11
3.190832519531250355e+01,2.157903152909269950e-11
3.239178466796875711e+01,2.160071808815575528e-11
3.287524414062500711e+01,2.162276097725720505e-11
3.335870361328125711e+01,2.164517305170644906e-11
3.384216308593750711e+01,2.166796422225999462e-11
3.432562255859375711e+01,2.169111116046721931e-11
3.480908203125000711e+01,2.171464008423092134e-11
3.529254150390625711e+01,2.173854599434252225e-11
3.577600097656250711e+01,2.176281761954663228e-11
3.625946044921875711e+01,2.178747558418802886e-11
3.674291992187500711e+01,2.181250740812882993e-11
3.722637939453125711e+01,2.183792195368930290e-11
3.770983886718750711e+01,2.186372795328349769e-11
3.819329833984375711e+01,2.188991646481462389e-11
3.867675781250000711e+01,2.191649193339220003e-11
3.916021728515625711e+01,2.194346028945962000e-11
3.964367675781250711e+01,2.197081822340791245e-11
4.012713623046875711e+01,2.199857542781092041e-11
4.061059570312500711e+01,2.202672788817115103e-11
4.109405517578125711e+01,2.205529126328625915e-11
4.157751464843750711e+01,2.208425375892938995e-11
4.206097412109375711e+01,2.211360607149018226e-11
4.254443359375000711e+01,2.214338913146505759e-11
4.302789306640625711e+01,2.217356262498533388e-11
4.351135253906250711e+01,2.220416885650763267e-11
4.399481201171875711e+01,2.223517036010832587e-11
4.447827148437500711e+01,2.226661106449496817e-11
4.496173095703125711e+01,2.229845708784105672e-11
4.544519042968750711e+01,2.233073475859981032e-11
4.592864990234375711e+01,2.236344084746920049e-11
4.641210937500000711e+01,2.239657086717108150e-11
4.689556884765625711e+01,2.243013615689071801e-11
4.737902832031250711e+01,2.246414230823042706e-11
4.786248779296875711e+01,2.249858120666458605e-11
4.834594726562500711e+01,2.253347405334773163e-11
4.882940673828125711e+01,2.256878593764715099e-11
4.931286621093750711e+01,2.260456612630473188e-11
4.979632568359375711e+01,2.264079198588745909e-11
5.027978515625000711e+01,2.267747856164710651e-11
5.076324462890625711e+01,2.271461435786918684e-11
5.124670410156250711e+01,2.275221891053123092e-11
5.173016357421875711e+01,2.279028769566899955e-11
5.221362304687500711e+01,2.282882159469985817e-11
5.269708251953125711e+01,2.286782604586208195e-11
5.318054199218750711e+01,2.290730836539848764e-11
5.366400146484375711e+01,2.294727167005702552e-11
5.414746093750000711e+01,2.298771247211038490e-11
5.463092041015625711e+01,2.302865012773150113e-11
5.511437988281250711e+01,2.307007473499106989e-11
5.559783935546875711e+01,2.311198761675917861e-11
5.608129882812500711e+01,2.315439770052550309e-11
5.656475830078125711e+01,2.319731043608562141e-11
5.704821777343750711e+01,2.324073595901508472e-11
5.753167724609375711e+01,2.328467465300531664e-11
5.801513671875000711e+01,2.332912010027552012e-11
5.849859619140625711e+01,2.337409386352281531e-11
5.898205566406250711e+01,2.341958318897739514e-11
5.946551513671875711e+01,2.346560645496992022e-11
5.994897460937500711e+01,2.351215664201461883e-11
6.043243408203125711e+01,2.355925020366931900e-11
6.091589355468750711e+01,2.360687502585027829e-11
6.139935302734375711e+01,2.365505024678315236e-11
6.188281250000000711e+01,2.370377135677111677e-11
6.236627197265625711e+01,2.375306447074252514e-11
6.284973144531250711e+01,2.380289853428813306e-11
6.333319091796875711e+01,2.385331806828828931e-11
6.381665039062500711e+01,2.390429076447211910e-11
6.430010986328126421e+01,2.395584963863079724e-11
6.478356933593751421e+01,2.400798601516924872e-11
6.526702880859376421e+01,2.406070976750100255e-11
6.575048828125001421e+01,2.411402344011735560e-11
6.623394775390626421e+01,2.416792708252683176e-11
6.671740722656251421e+01,2.422244206025956708e-11
6.720086669921876421e+01,2.427756310823952788e-11
6.768432617187501421e+01,2.433330068825124087e-11
6.816778564453126421e+01,2.438966005536389320e-11
6.865124511718751421e+01,2.444664059813441658e-11
6.913470458984376421e+01,2.450425419172675875e-11
6.961816406250001421e+01,2.456250082756005500e-11
7.010162353515626421e+01,2.462139441221003410e-11
7.058508300781251421e+01,2.468093700827262395e-11
7.106854248046876421e+01,2.474114253191293213e-11
7.155200195312501421e+01,2.480200793909089821e-11
7.203546142578126421e+01,2.486353487978180628e-11
7.251892089843751421e+01,2.492574896367858323e-11
7.300238037109376421e+01,2.498863627751580633e-11
7.348583984375001421e+01,2.505222266409483974e-11
7.396929931640626421e+01,2.511649890778827183e-11
7.445275878906251421e+01,2.518147343931255800e-11
7.493621826171876421e+01,2.524717500870580878e-11
7.541967773437501421e+01,2.531358660775617881e-11
7.590313720703126421e+01,2.538071976722844427e-11
7.638659667968751421e+01,2.544859388498192139e-11
7.687005615234376421e+01,2.551720299879777424e-11
7.735351562500001421e+01,2.558656533517744873e-11
7.783697509765626421e+01,2.565667863825791485e-11
7.832043457031251421e+01,2.572756239679965079e-11
7.880389404296876421e+01,2.579921839171627275e-11
7.928735351562501421e+01,2.587165630298655815e-11
7.977081298828126421e+01,2.594487528987966142e-11
8.025427246093751421e+01,2.601890067354166172e-11
8.073773193359376421e+01,2.609373556515454346e-11
8.122119140625001421e+01,2.616937367171979559e-11
8.170465087890626421e+01,2.624584927854061300e-11
8.218811035156251421e+01,2.632314645498707650e-11
8.267156982421876421e+01,2.640130143214542990e-11
8.315502929687501421e+01,2.648029426316101433e-11
8.363848876953126421e+01,2.656016215149257776e-11
8.412194824218751421e+01,2.664089350444522014e-11
8.460540771484376421e+01,2.672250736271216081e-11
8.508886718750001421e+01,2.680502018603341415e-11
8.557232666015626421e+01,2.688842134953180792e-11
8.605578613281251421e+01,2.697274440393122044e-11
8.653924560546876421e+01,2.705799024688232037e-11
8.702270507812501421e+01,2.714416712045636172e-11
8.750616455078126421e+01,2.723129405806526128e-11
8.798962402343751421e+01,2.731935991296857437e-11
8.847308349609376421e+01,2.740840827442763479e-11
8.895654296875001421e+01,2.749842707911314542e-11
8.944000244140626421e+01,2.758945095771558521e-11
8.992346191406251421e+01,2.768146212551520577e-11
9.040692138671876421e+01,2.777449023982231852e-11
9.089038085937501421e+01,2.786854149236973178e-11
9.137384033203126421e+01,2.796363402762717043e-11
9.185729980468751421e+01,2.805978145141773208e-11
9.234075927734376421e+01,2.815699104355722851e-11
9.282421875000001421e+01,2.825526770995665965e-11
9.330767822265626421e+01,2.835464802344634622e-11
9.379113769531251421e+01,2.845512840569066983e-11
9.427459716796876421e+01,2.855672564806579439e-11
9.475805664062501421e+01,2.865945401178126458e-11
9.524151611328126421e+01,2.876333030202566127e-11
9.572497558593751421e+01,2.886836719301107074e-11
9.620843505859376421e+01,2.897457571059262558e-11
9.669189453125001421e+01,2.908198724031562120e-11
9.717535400390626421e+01,2.919059529954712119e-11
9.765881347656251421e+01,2.930042139176305428e-11
9.814227294921876421e+01,2.941148907320891425e-11
9.862573242187501421e+01,2.952380509386710319e-11
9.910919189453126421e+01,2.963739927722917996e-11
9.959265136718751421e+01,2.975227965240928301e-11
1.000761108398437642e+02,2.986844812933731927e-11
1.005595703125000142e+02,2.998595600327978053e-11
1.010430297851562642e+02,3.010478798247844323e-11
1.015264892578125142e+02,3.022499035939392210e-11
1.020099487304687642e+02,3.034656319951727925e-11
1.024934082031250142e+02,3.046950476058451193e-11
1.029768676757812642e+02,3.059388603346126071e-11
1.034603271484375142e+02,3.071968939137710094e-11
1.039437866210937642e+02,3.084694389660133343e-11
1.044272460937500142e+02,3.097567775296949465e-11
1.049107055664062642e+02,3.110588137077875629e-11
1.053941650390625142e+02,3.123760986212281830e-11
1.058776245117187642e+02,3.137086623349307274e-11
1.063610839843750142e+02,3.150568436611245848e-11
1.068445434570312642e+02,3.164206947461819798e-11
1.073280029296875142e+02,3.178005293193984152e-11
1.078114624023437642e+02,3.191966652963202266e-11
1.082949218750000142e+02,3.206091608438545944e-11
1.087783813476562642e+02,3.220384009950374281e-11
1.092618408203125142e+02,3.234844371606356311e-11
1.097453002929687642e+02,3.249477318533067392e-11
1.102287597656250142e+02,3.264284262784014905e-11
1.107122192382812642e+02,3.279267700655714297e-11
1.111956787109375142e+02,3.294430005243847404e-11
1.116791381835937642e+02,3.309774407634317149e-11
1.121625976562500142e+02,3.325303623880503584e-11
1.126460571289062642e+02,3.341019226647624582e-11
1.131295166015625142e+02,3.356926178016678144e-11
1.136129760742187642e+02,3.373024629507128902e-11
1.140964355468750142e+02,3.389319895616241035e-11
1.145798950195312642e+02,3.405813928106147219e-11
1.150633544921875142e+02,3.422509548032028459e-11
1.155468139648437642e+02,3.439409832718737904e-11
1.160302734375000142e+02,3.456517675750699938e-11
1.165137329101562642e+02,3.473838897617019479e-11
1.169971923828125142e+02,3.491371563116665801e-11
1.174806518554687642e+02,3.509124276649830493e-11
1.179641113281250142e+02,3.527096734925938496e-11
1.184475708007812642e+02,3.545295242142358616e-11
1.189310302734375142e+02,3.563721717046042580e-11
1.194144897460937642e+02,3.582379875670788160e-11
1.198979492187500142e+02,3.601273742604387569e-11
1.203814086914062642e+02,3.620406250359998469e-11
1.208648681640625142e+02,3.639783007154179076e-11
1.213483276367187642e+02,3.659405187697227023e-11
1.218317871093750142e+02,3.679280488147496393e-11
1.223152465820312642e+02,3.699409940504620979e-11
1.227987060546875142e+02,3.719799264566688002e-11
1.232821655273437642e+02,3.740451071828900628e-11
1.237656250000000142e+02,3.761370721661660537e-11
1.242490844726562642e+02,3.782564557666838892e-11
1.247325439453125142e+02,3.804035077448330778e-11
1.252160034179687642e+02,3.825786034923564605e-11
1.256994628906250142e+02,3.847824627441453931e-11
1.261829223632812642e+02,3.870153194801152253e-11
1.266663818359375142e+02,3.892778270970998674e-11
1.271498413085937642e+02,3.915705227124697407e-11
1.276333007812500142e+02,3.938937663462786251e-11
1.281167602539062784e+02,3.962482576779189572e-11
1.286002197265625284e+02,3.986343461333196451e-11
1.290836791992187784e+02,4.010528624814854574e-11
1.295671386718750284e+02,4.035040547012618452e-11
1.300505981445312784e+02,4.059887468359385537e-11
1.305340576171875284e+02,4.085073054064961162e-11
1.310175170898437784e+02,4.110606001377820634e-11
1.315009765625000284e+02,4.136489762779262538e-11
1.319844360351562784e+02,4.162733367631136783e-11
1.324678955078125284e+02,4.189340868970325913e-11
1.329513549804687784e+02,4.216320214665242747e-11
1.334348144531250284e+02,4.243678310057253037e-11
1.339182739257812784e+02,4.271420903399250283e-11
1.344017333984375284e+02,4.299555135406694260e-11
1.348851928710937784e+02,4.328090331554498490e-11
1.353686523437500284e+02,4.357031597113992631e-11
1.358521118164062784e+02,4.386388296343447780e-11
1.363355712890625284e+02,4.416165138017332339e-11
1.368190307617187784e+02,4.446375062668846647e-11
1.373024902343750284e+02,4.477021234383738718e-11
1.377859497070312784e+02,4.508115919754926223e-11
1.382694091796875284e+02,4.539664454710865774e-11
1.387528686523437784e+02,4.571677015137880969e-11
1.392363281250000284e+02,4.604164777095338291e-11
1.397197875976562784e+02,4.637132358643482484e-11
1.402032470703125284e+02,4.670592402244440739e-11
1.406867065429687784e+02,4.704554913400832999e-11
1.411701660156250284e+02,4.739027344898486051e-11
1.416536254882812784e+02,4.774021786091830212e-11
1.421370849609375284e+02,4.809548342517468386e-11
1.426205444335937784e+02,4.845616928795734434e-11
1.431040039062500284e+02,4.882238858171521288e-11
1.435874633789062784e+02,4.919426106530197159e-11
1.440709228515625284e+02,4.957189616523174322e-11
1.445543823242187784e+02,4.995540421606529281e-11
1.450378417968750284e+02,5.034492689392388812e-11
1.455213012695312784e+02,5.074055431844882001e-11
1.460047607421875284e+02,5.114244555747660314e-11
1.464882202148437784e+02,5.155072796707191654e-11
1.469716796875000284e+02,5.196553190058709638e-11
1.474551391601562784e+02,5.238698417217606454e-11
1.479385986328125284e+02,5.281524307734520526e-11
1.484220581054687784e+02,5.325044567367670800e-11
1.489055175781250284e+02,5.369274651597166512e-11
1.493889770507812784e+02,5.414228987391434912e-11
1.498724365234375284e+02,5.459924769375090847e-11
1.503558959960937784e+02,5.506376662614990446e-11
1.508393554687500284e+02,5.553602512668522056e-11
1.513228149414062784e+02,5.601620068371187504e-11
1.518062744140625284e+02,5.650446546629082744e-11
1.522897338867187784e+02,5.700096767788309348e-11
1.527731933593750284e+02,5.750595065569540076e-11
1.532566528320312784e+02,5.801957524878260575e-11
1.537401123046875284e+02,5.854203373551753933e-11
1.542235717773437784e+02,5.907354596507933064e-11
1.547070312500000284e+02,5.961430805977147038e-11
1.551904907226562784e+02,6.016453399634379283e-11
1.556739501953125284e+02,6.072446146456139019e-11
1.561574096679687784e+02,6.129430280473884488e-11
1.566408691406250284e+02,6.187431458742352471e-11
1.571243286132812784e+02,6.246471113200013362e-11
1.576077880859375284e+02,6.306575905589181476e-11
1.580912475585937784e+02,6.367769814238331861e-11
1.585747070312500284e+02,6.430082147534170667e-11
1.590581665039062784e+02,6.493537706571696421e-11
1.595416259765625284e+02,6.558166433409185063e-11
1.600250854492187784e+02,6.623996520619656646e-11
1.605085449218750284e+02,6.691056368407209821e-11
1.609920043945312784e+02,6.759380136574426638e-11
1.614754638671875284e+02,6.828995884258955839e-11
1.619589233398437784e+02,6.899940536845420728e-11
1.624423828125000284e+02,6.972244089890625038e-11
1.629258422851562784e+02,7.045944731445978504e-11
1.634093017578125284e+02,7.121076115219368343e-11
1.638927612304687784e+02,7.197677338972773351e-11
1.643762207031250284e+02,7.275786600792856349e-11
1.648596801757812784e+02,7.355443426060830021e-11
1.653431396484375284e+02,7.436688330998858532e-11
1.658265991210937784e+02,7.519565510687313287e-11
1.663100585937500284e+02,7.604117439125364678e-11
1.667935180664062784e+02,7.690390313901829859e-11
1.672769775390625284e+02,7.778432131860630206e-11
1.677604370117187784e+02,7.868289670864458186e-11
1.682438964843750284e+02,7.960014757859797764e-11
1.687273559570312784e+02,8.053658971033463268e-11
1.692108154296875284e+02,8.149276568297258873e-11
1.696942749023437784e+02,8.246923472406112161e-11
1.701777343750000284e+02,8.346657437694063150e-11
1.706611938476562784e+02,8.448539471501052793e-11
1.711446533203125284e+02,8.552627568087070487e-11
