frequency_hz,amplitude
0.000000000000000000e+00,3.925238827171197962e-10
4.815063476562499445e-01,7.851492333118121822e-10
9.630126953124998890e-01,7.854537582051717309e-10
1.444519042968749778e+00,7.859617045430347089e-10
1.926025390624999778e+00,7.866736914975275032e-10
2.407531738281249556e+00,7.875906049058201862e-10
2.889038085937499556e+00,7.887135345400854998e-10
3.370544433593749556e+00,7.900438919298005329e-10
3.852050781249999556e+00,7.915832880938724429e-10
4.333557128906249112e+00,7.933336309277198961e-10
4.815063476562499112e+00,7.952970837098735665e-10
5.296569824218749112e+00,7.974760936332935178e-10
5.778076171874999112e+00,7.998733844287374194e-10
6.259582519531249112e+00,8.024919687447228915e-10
6.741088867187499112e+00,8.053351589660346570e-10
7.222595214843749112e+00,8.084065960455589137e-10
7.704101562499999112e+00,8.117101217701970122e-10
8.185607910156248224e+00,8.152501629756936849e-10
8.667114257812498224e+00,8.190311748238502093e-10
9.148620605468748224e+00,8.230582047180642933e-10
9.630126953124998224e+00,8.273365610367802578e-10
1.011163330078124822e+01,8.318719706342457289e-10
1.059313964843749822e+01,8.366705480513152326e-10
1.107464599609374822e+01,8.417388432646186618e-10
1.155615234374999822e+01,8.470838416905536637e-10
1.203765869140624822e+01,8.527130016986756377e-10
1.251916503906249822e+01,8.586342655446735520e-10
1.300067138671874822e+01,8.648560887570313700e-10
1.348217773437499822e+01,8.713874855790538202e-10
1.396368408203124822e+01,8.782380156567368492e-10
1.444519042968749822e+01,8.854178796167236870e-10
1.492669677734374822e+01,8.929378830457005078e-10
1.540820312499999822e+01,9.008095630114348949e-10
1.588970947265624822e+01,9.090451113091567436e-10
1.637121582031249645e+01,9.176575519529256130e-10
1.685272216796874645e+01,9.266606729194094500e-10
1.733422851562499645e+01,9.360691712391803321e-10
1.781573486328124645e+01,9.458986262312717700e-10
1.829724121093749645e+01,9.561656439257067843e-10
1.877874755859374645e+01,9.668878552279124709e-10
1.926025390624999645e+01,9.780840428376430944e-10
1.974176025390624645e+01,9.897741637396673241e-10
2.022326660156249645e+01,1.001979482987565490e-09
2.070477294921874645e+01,1.014722652755037738e-09
2.118627929687499645e+01,1.028027795638714764e-09
2.166778564453124645e+01,1.041920647731314333e-09
2.214929199218749645e+01,1.056428645908821378e-09
2.263079833984374645e+01,1.071581092406376381e-09
2.311230468749999645e+01,1.087409254417099018e-09
2.359381103515624645e+01,1.103946606978043793e-09
2.407531738281249645e+01,1.121228866407158790e-09
2.455682373046874645e+01,1.139294332221968174e-09
2.503833007812499645e+01,1.158184002630360170e-09
2.551983642578124645e+01,1.177941814091332261e-09
2.600134277343749645e+01,1.198614931176887450e-09
2.648284912109374645e+01,1.220253974327480061e-09
2.696435546874999645e+01,1.242913372462234533e-09
2.744586181640624645e+01,1.266651667112736577e-09
2.792736816406249645e+01,1.291531904680283416e-09
2.840887451171874645e+01,1.317622069760335340e-09
2.889038085937499645e+01,1.344995481644714164e-09
2.937188720703124645e+01,1.373731415903079570e-09
2.985339355468749645e+01,1.403915553432140357e-09
3.033489990234374645e+01,1.435640722583313714e-09
3.081640624999999645e+01,1.469007552312299569e-09
3.129791259765624645e+01,1.504125289511055777e-09
3.177941894531249645e+01,1.541112687352186851e-09
3.226092529296874289e+01,1.580099037641880145e-09
3.274243164062499289e+01,1.621225266075444909e-09
3.322393798828124289e+01,1.664645221932139685e-09
3.370544433593749289e+01,1.710527227418057205e-09
3.418695068359374289e+01,1.759055410878012875e-09
3.466845703124999289e+01,1.810432020850732539e-09
3.514996337890624289e+01,1.864879169969250491e-09
3.563146972656249289e+01,1.922641433035539696e-09
3.611297607421874289e+01,1.983988568998131591e-09
3.659448242187499289e+01,2.049218687298804733e-09
3.707598876953124289e+01,2.118661959855273426e-09
3.755749511718749289e+01,2.192684774424048815e-09
