frequency_hz,amplitude
0.000000000000000000e+00,4.058922434279673928e-10
4.919738769531249445e-01,8.119485562975637415e-10
9.839477539062498890e-01,8.124409863345100061e-10
1.475921630859374778e+00,8.132624327454579594e-10
1.967895507812499778e+00,8.144139685816897419e-10
2.459869384765624556e+00,8.158971290864862163e-10
2.951843261718749556e+00,8.177138910723921233e-10
3.443817138671874556e+00,8.198666565467277306e-10
3.935791015624999556e+00,8.223583259956858079e-10
4.427764892578124112e+00,8.251922462006981470e-10
4.919738769531249112e+00,8.283722461941717782e-10
5.411712646484374112e+00,8.319026496783376962e-10
5.903686523437499112e+00,8.357882874674147063e-10
6.395660400390624112e+00,8.400345287251393759e-10
6.887634277343749112e+00,8.446472708847053501e-10
7.379608154296874112e+00,8.496329751388155982e-10
7.871582031249999112e+00,8.549987062729442796e-10
8.363555908203123224e+00,8.607521263440001698e-10
8.855529785156248224e+00,8.669015382390615259e-10
9.347503662109373224e+00,8.734559002623299262e-10
9.839477539062498224e+00,8.804249491996583705e-10
1.033145141601562322e+01,8.878190417134876868e-10
1.082342529296874822e+01,8.956494046001300768e-10
1.131539916992187322e+01,9.039280536351562497e-10
1.180737304687499822e+01,9.126678682487798917e-10
1.229934692382812322e+01,9.218826573893622402e-10
1.279132080078124822e+01,9.315871924336521948e-10
1.328329467773437322e+01,9.417972761933312365e-10
1.377526855468749822e+01,9.525298333168433841e-10
1.426724243164062322e+01,9.638029152761174171e-10
1.475921630859374822e+01,9.756358483491576779e-10
1.525119018554687322e+01,9.880492699213475005e-10
1.574316406249999822e+01,1.001065255941938475e-09
1.623513793945312145e+01,1.014707385331574871e-09
1.672711181640624645e+01,1.029000858434468841e-09
1.721908569335937145e+01,1.043972621245592092e-09
1.771105957031249645e+01,1.059651521379271874e-09
1.820303344726562145e+01,1.076068366096147119e-09
1.869500732421874645e+01,1.093256168844362206e-09
1.918698120117187145e+01,1.111250252949142841e-09
1.967895507812499645e+01,1.130088482588257261e-09
2.017092895507812145e+01,1.149811427642969879e-09
2.066290283203124645e+01,1.170462591240559437e-09
2.115487670898437145e+01,1.192088675752941936e-09
