frequency_hz,amplitude
0.000000000000000000e+00,1.119052000899831466e-09
4.923095703125000000e-01,2.244671385153565803e-09
9.846191406250000000e-01,2.264403663506354847e-09
1.476928710937500000e+00,2.297393898820301135e-09
1.969238281250000000e+00,2.343805972019980880e-09
2.461547851562500000e+00,2.403887229599902999e-09
2.953857421875000000e+00,2.477985254543924145e-09
3.446166992187500000e+00,2.566568128635826041e-09
3.938476562500000000e+00,2.670247861454102802e-09
4.430786132812500000e+00,2.789806702250958302e-09
4.923095703125000000e+00,2.926226660611106712e-09
5.415405273437500000e+00,3.080722862174042417e-09
5.907714843750000000e+00,3.254781646599927768e-09
6.400024414062500000e+00,3.450204904429191372e-09
6.892333984375000000e+00,3.669162191136397485e-09
7.384643554687500000e+00,3.914252780147173814e-09
7.876953125000000000e+00,4.188579798104740995e-09
8.369262695312500000e+00,4.495838924352657268e-09
8.861572265625000000e+00,4.840423944292214034e-09
9.353881835937500000e+00,5.227550898038489743e-09
9.846191406250000000e+00,5.663400673409241430e-09
1.033850097656250000e+01,6.155275746580117459e-09
1.083081054687500000e+01,6.711757577135588482e-09
1.132312011718750000e+01,7.342832057957270902e-09
1.181542968750000000e+01,8.059910147926780342e-09
1.230773925781250000e+01,8.875586922566767792e-09
1.280004882812500000e+01,9.802802753826550075e-09
1.329235839843750000e+01,1.085267775045947598e-08
1.378466796875000000e+01,1.202939972211041013e-08
1.427697753906250000e+01,1.331843112159688408e-08
1.476928710937500000e+01,1.465898141025438084e-08
1.526159667968750000e+01,1.587731331965321854e-08
1.575390625000000000e+01,1.651489541540687656e-08
1.624621582031250000e+01,1.534502221026201250e-08
1.673852539062500000e+01,8.914527861258391320e-09
1.723083496093750000e+01,1.732194386184836039e-08
1.772314453125000000e+01,1.292609508928079965e-07
1.821545410156250000e+01,7.627674341370987120e-03
1.870776367187500000e+01,1.761905401099988968e-03
1.920007324218750000e+01,1.142901542936809213e-02
1.969238281250000000e+01,9.238162656105396164e-02
2.018469238281250000e+01,1.411330424170505471e-01
2.067700195312500000e+01,4.591416547904374895e-02
2.116931152343750000e+01,1.636868500991984032e-06
2.166162109375000000e+01,7.720278867231863268e-03
2.215393066406250000e+01,4.736780725008146734e-07
2.264624023437500000e+01,2.391846966182268916e-07
2.313854980468750000e+01,1.476621403207122641e-07
2.363085937500000000e+01,1.006357285129826558e-07
2.412316894531250000e+01,7.302251542573397186e-08
2.461547851562500000e+01,5.538258797589431718e-08
2.510778808593750000e+01,4.342176249329558405e-08
2.560009765625000000e+01,3.493907910715205814e-08
2.609240722656250000e+01,2.870703214084885760e-08
2.658471679687500000e+01,2.399585145491317001e-08
2.707702636718750000e+01,2.034921954584403163e-08
2.756933593750000000e+01,1.746983871717185606e-08
2.806164550781250000e+01,1.515727401060176810e-08
2.855395507812500000e+01,1.327241910717827592e-08
2.904626464843750000e+01,1.171629491383622714e-08
2.953857421875000000e+01,1.041693117758384494e-08
3.003088378906250000e+01,9.320990624811019298e-09
3.052319335937500000e+01,8.388272688325993045e-09
3.101550292968750000e+01,7.588018602140833580e-09
3.150781250000000000e+01,6.896373617364675189e-09
3.200012207031250000e+01,6.294610120692732079e-09
3.249243164062500000e+01,5.767861855305187942e-09
3.298474121093750000e+01,5.304207865035699182e-09
3.347705078125000000e+01,4.894000137154468147e-09
3.396936035156250000e+01,4.529363497146432482e-09
3.446166992187500000e+01,4.203819242423198713e-09
3.495397949218750000e+01,3.911998690134769529e-09
3.544628906250000000e+01,3.649422953962299056e-09
3.593859863281250000e+01,3.412332001499107861e-09
3.643090820312500000e+01,3.197550804827138436e-09
3.692321777343750000e+01,3.002383682470729327e-09
3.741552734375000000e+01,2.824530245965698749e-09
3.790783691406250000e+01,2.662017986398842129e-09
3.840014648437500000e+01,2.513147992236004948e-09
