frequency_hz,horizontal,vertical,axial
0.000000000000000000e+00,4.890880447832386853e-04,4.844844814452674200e-04,1.099071894847753450e-06
4.811243018890957734e-01,3.283513320736214380e-02,1.014745616048232102e-02,5.791979828328614084e-03
9.622486037781915469e-01,6.860648300368810343e-04,1.079719319268588598e-03,6.832136778960420410e-04
1.443372905667287265e+00,2.883294866645934410e-06,6.822571964448219135e-04,1.078995907791999685e-03
1.924497207556383094e+00,4.806854506594218450e-04,5.336233829282927049e-07,4.827462816425006514e-04
2.405621509445478701e+00,1.801392588254291179e-06,3.970796246450197901e-07,3.046637878694824463e-07
2.886745811334574530e+00,4.814665464658447443e-04,4.824458852035147841e-04,4.825478638242642888e-04
3.367870113223670359e+00,9.665823960392831921e-04,4.828003072920943029e-04,9.656536448292176019e-04
3.848994415112766188e+00,6.819380344164515566e-04,6.828510029634448633e-04,4.825891766281370943e-04
4.330118717001862017e+00,1.079872547635313349e-03,1.079257813382320181e-03,4.828383110207442892e-04
4.811243018890957401e+00,9.652936540199785710e-04,2.154961325232441892e-07,6.823369006257032137e-04
5.292367320780053674e+00,1.079246371670446007e-03,1.514138084740164987e-07,4.827196031153966520e-04
5.773491622669149059e+00,9.654561585624427513e-04,6.825113960931616453e-04,9.654186848635605079e-04
6.254615924558245332e+00,6.831666793636995442e-04,4.826873212285288386e-04,9.653428615721357936e-04
6.735740226447340717e+00,4.832990668601467817e-04,4.827026265335044946e-04,4.825950489407141624e-04
7.216864528336436990e+00,1.447678298758625030e-03,4.827485780527258777e-04,1.880382569439574798e-07
7.697988830225532375e+00,1.079976817521802494e-03,9.271908035281734368e-08,1.079276805184855529e-03
8.179113132114627760e+00,5.352887387176476047e-07,4.826658375569422730e-04,1.990114701089849229e-03
8.660237434003724033e+00,9.656513304514315055e-04,2.829902686241193801e-07,1.990489821603222322e-03
9.141361735892820306e+00,9.652279550994813081e-04,4.824313722945152740e-04,1.364953723302257411e-03
9.622486037781914803e+00,6.821820360117951442e-04,6.826917078527723007e-04,9.653349753776871304e-04
1.010361033967101108e+01,2.599766055190107141e-03,6.825766278806343719e-04,1.159348973557269801e-07
1.058473464156010735e+01,2.413213424199862726e-03,3.468704433088778706e-07,4.826867364109820729e-04
1.106585894344920362e+01,1.079080797795029748e-03,6.827210189112022055e-04,4.825517118133157098e-04
1.154698324533829812e+01,1.990952592865951470e-03,1.079400634688719657e-03,1.448193023343342413e-03
1.202810754722739439e+01,2.158425601779376170e-03,4.831861026980857447e-04,1.526758686295852851e-03
1.250923184911649066e+01,1.079561089503005200e-03,9.652920879417640869e-04,6.827363714400577245e-04
1.299035615100558516e+01,1.526301496089047969e-03,9.655333205819313083e-04,1.079235125158055798e-03
1.347148045289468143e+01,6.330884970271959123e-07,1.078924173847352081e-03,4.824324552145471331e-04
1.395260475478377771e+01,1.079546973225008200e-03,9.657875358268896548e-04,6.828895012986046240e-04
1.443372905667287398e+01,1.740350084842318817e-03,4.825508625558905837e-04,1.740361401556681734e-03
1.491485335856196848e+01,1.079670264203462732e-03,1.079832443195655059e-03,2.413832495000416394e-03
1.539597766045106475e+01,6.826929761791181595e-04,1.079085887206659294e-03,1.079443882871049514e-03
1.587710196234016102e+01,4.822928999054338587e-04,9.658456019058385454e-04,6.826272527682731043e-04
1.635822626422925552e+01,6.935656449029172269e-07,6.820116665479563148e-04,4.145305768983949259e-07
1.683935056611835179e+01,1.526851983364353998e-03,4.831758519589625465e-04,6.823598118668642134e-04
1.732047486800744807e+01,1.365474229755572408e-03,4.830114989768256656e-04,1.079581343995052308e-03
1.780159916989654434e+01,6.036556130028467336e-07,7.575569976991121171e-07,9.652993442894265870e-04
1.828272347178564061e+01,1.079104673002223829e-03,1.079441645981391636e-03,4.869512031684553441e-07
1.876384777367473689e+01,6.827603365650709811e-04,9.647556670660036460e-04,4.825650597752065524e-04
1.924497207556382961e+01,2.159659649477325624e-03,1.931642353808833484e-03,2.159437132023502969e-03
1.972609637745292588e+01,5.871703465587962099e-03,3.514060254020218762e-03,8.553896134752676100e-03
2.020722067934202215e+01,3.863236113867575885e-03,3.514662169733757859e-03,6.565788710547624564e-03
2.068834498123111842e+01,4.819464663363844624e-04,9.641186527905168738e-04,8.448038647849332382e-07
2.116946928312021470e+01,1.365251332251123150e-03,1.527405766929653373e-03,4.821418268660931233e-04
2.165059358500931097e+01,1.080100241729416936e-03,2.047704166774774130e-03,1.448893323437945406e-03
2.213171788689840724e+01,1.740539541514661386e-03,4.842862361129882153e-04,1.447493456167683488e-03
