frequency_hz,horizontal,vertical,axial
0.000000000000000000e+00,8.780522758734423674e-09,2.689868704669777359e-09,3.615306416778768459e-08
4.839320047608874353e-01,7.976526338854124017e-08,6.575382516053792438e-08,5.985988788877099374e-08
9.678640095217748707e-01,6.375443091704151844e-08,1.122330924845090259e-07,8.672623026149430652e-09
1.451796014282662250e+00,2.292104424052612735e-08,9.417187115856732029e-08,1.914573091955829856e-08
1.935728019043549741e+00,7.945864001502198181e-09,4.163235564612271682e-08,3.355175467153802653e-08
2.419660023804437010e+00,7.236740523663799213e-08,3.626377178078873331e-08,1.594508322105740605e-08
2.903592028565324501e+00,1.019125910481889015e-07,5.778424477795242399e-09,2.932862026327269162e-08
3.387524033326211992e+00,1.610166970405238077e-08,2.699604938541523237e-08,3.284276886186558323e-08
3.871456038087099483e+00,7.590904208105283597e-08,1.407989190547502705e-08,3.698369843695467633e-08
4.355388042847986974e+00,5.333043125157129021e-08,2.715453300689205959e-08,3.560316127436672305e-08
4.839320047608874020e+00,5.010550542476587685e-08,4.985678105654878052e-08,8.025763342197486892e-08
5.323252052369761955e+00,4.295885869659923620e-08,1.872031173960275742e-08,8.251444981698205240e-08
5.807184057130649002e+00,8.148217797719728922e-08,2.931120141283050591e-08,3.366756788080720653e-08
6.291116061891536937e+00,8.385169011668614955e-08,7.982241340066192426e-08,3.643101546468107571e-08
6.775048066652423984e+00,1.126013052417394029e-07,5.056472951235542603e-08,3.473191931661153900e-08
7.258980071413311919e+00,8.615164642904318073e-08,2.595918158452269572e-08,2.004602863232414922e-08
7.742912076174198965e+00,3.979347794554237036e-08,3.134577451659705886e-08,4.473989286769577428e-08
8.226844080935086012e+00,8.432792516249710848e-08,3.197121533376624021e-08,8.117032844861934412e-08
8.710776085695973947e+00,1.235534027573599485e-07,1.223433519150495756e-08,3.756398549364508741e-08
9.194708090456861882e+00,1.010473915465191112e-07,1.151009143105117519e-08,1.321936791427628101e-08
9.678640095217748041e+00,6.759472815983209638e-08,3.981542881574959220e-08,7.157943427951471304e-08
1.016257209997863598e+01,4.127533726103619392e-08,5.894890112736178526e-08,7.357415709439490145e-09
1.064650410473952391e+01,2.270858029126331699e-08,2.208049922260551620e-08,6.384848161059607615e-08
1.113043610950041185e+01,3.088065995364445555e-08,5.169546874060879389e-08,8.855600402758296978e-08
1.161436811426129800e+01,3.050435614108222529e-08,4.055955692744879742e-08,1.110265293278804230e-07
1.209830011902218594e+01,2.151331916049759079e-08,2.516536179370314735e-08,6.709761848480795009e-08
1.258223212378307387e+01,4.603981070877741022e-08,4.903102379701387311e-08,6.643083059106077659e-09
1.306616412854396003e+01,3.723919142417780599e-08,6.617579896319994742e-08,3.194585918456798128e-08
1.355009613330484797e+01,1.802876951832916373e-09,8.833159180269376531e-09,3.661977335855573362e-08
1.403402813806573590e+01,5.290060910889574961e-08,5.683755462783496123e-08,3.260025606636361161e-08
1.451796014282662384e+01,8.846844208517131724e-08,7.267806809706513761e-08,5.108266379529545684e-08
1.500189214758751000e+01,7.869114848721347753e-08,1.890333321429643477e-08,4.806299709179032081e-08
1.548582415234839793e+01,7.674448042264222610e-08,2.450569594604374673e-08,1.166394934644350121e-07
