frequency_hz,horizontal,vertical,axial
0.000000000000000000e+00,6.665587768610018321e-08,9.253428768650040274e-10,2.114694882501242394e-08
4.951933347575304123e-01,6.478485111815913365e-08,4.042013394390835029e-08,3.577549374964108844e-08
9.903866695150608246e-01,2.856667347639660019e-08,5.726324056220437932e-08,4.378330166707501631e-08
1.485580004272591292e+00,4.115203872560632308e-08,1.459661051155447887e-08,3.151044125770760422e-08
1.980773339030121649e+00,6.000487455878046846e-08,5.213544690486304958e-08,6.276065836532335682e-08
2.475966673787652006e+00,3.867163327673082806e-08,4.147777776356294007e-08,5.818215910344451959e-08
2.971160008545182585e+00,1.008425010023114221e-07,3.591869372306097709e-08,3.829013080115445570e-08
3.466353343302712720e+00,8.743113667522466291e-08,6.964544484582274251e-09,2.849135819054451680e-08
3.961546678060243298e+00,4.379185845687765411e-08,3.872759182973387401e-08,5.961971273150228680e-08
4.456740012817773433e+00,1.056664447452917806e-07,5.132915854059161396e-08,1.053633919247748529e-07
4.951933347575304012e+00,1.162339447427687128e-07,6.881649183055118820e-08,1.034897409324547431e-07
5.447126682332834591e+00,1.075205145456149869e-07,6.662283049472117915e-08,5.563762713708771832e-08
5.942320017090365170e+00,6.560819534831377196e-08,7.665325772662371724e-08,5.172571670223965779e-08
6.437513351847895748e+00,1.792319298745898543e-08,6.816639818952283204e-08,3.315945037017052771e-08
6.932706686605425439e+00,5.645366447790329705e-08,5.650091269203082399e-08,5.855115066996658675e-08
7.427900021362956018e+00,8.188880556197604629e-08,8.216975564561414905e-08,7.584658480823087473e-08
7.923093356120486597e+00,2.877113490330604404e-08,8.114206391039448238e-08,1.041916765093823477e-07
8.418286690878016287e+00,2.985700462036257817e-08,6.749479241330362177e-08,6.679274201098749807e-08
8.913480025635546866e+00,6.753308061406254274e-08,6.404876599430292738e-08,4.639814691781331974e-08
9.408673360393077445e+00,6.827566984128403309e-04,4.257547796813912956e-08,9.654842142332167388e-04
9.903866695150608024e+00,1.740541344285980330e-03,1.682604755856760164e-08,1.930844750607071210e-03
1.039906002990813860e+01,1.526549146311168134e-03,3.880951941383745160e-08,9.655355503347675620e-04
1.089425336466566918e+01,4.827518331839467081e-04,5.467608085182205671e-08,6.333809291162626102e-08
1.138944669942319976e+01,5.043299478039440734e-08,1.550940081573312959e-08,3.511460141342477318e-09
1.188464003418073034e+01,5.373637878738068531e-08,2.124417303614881887e-08,5.440186058086651662e-08
1.237983336893826092e+01,7.720227753477847748e-08,6.194611583476073477e-08,6.033324402813949333e-08
1.287502670369579150e+01,6.230720242207034508e-08,9.635457594277190180e-08,4.517137982005507329e-08
1.337022003845332030e+01,2.042531722935971816e-08,8.329430407151451088e-08,3.438228838040564875e-08
1.386541337321085088e+01,6.533217919813051542e-08,8.473530840851409372e-08,7.175048308493296874e-08
1.436060670796838146e+01,6.473571592118994387e-08,3.239548905896185124e-08,5.834762816725977250e-08
1.485580004272591204e+01,3.948154131848553798e-08,3.172509924475047086e-08,5.173272865362250625e-08
1.535099337748344261e+01,2.039562520669060978e-08,6.097546020513666539e-08,5.321051477618205887e-08
1.584618671224097319e+01,3.445458563377376463e-08,5.676198464073371588e-08,3.872829829142153674e-08
1.634138004699850200e+01,5.803725726164418734e-08,2.483609537293333231e-08,2.413841955689794984e-08
1.683657338175603257e+01,5.456189491478113229e-08,7.849064467748026138e-08,8.335953118784082495e-08
1.733176671651356315e+01,7.602365993028912607e-08,1.018267868428511527e-07,5.892000181665272541e-08
1.782696005127109373e+01,6.902272947025205088e-08,6.409979797419933015e-08,2.800584317019150347e-08
1.832215338602862431e+01,4.232280433169573799e-08,2.996866315689133718e-08,6.920286967483348068e-08
1.881734672078615489e+01,5.247156952725982480e-08,6.976161405361448793e-08,7.474604684987970045e-08
