frequency_hz,horizontal,vertical,axial
0.000000000000000000e+00,1.041195298039245031e-08,9.038777977656314205e-09,7.722804633748548439e-09
4.929044465468306324e-01,4.019249385178584781e-09,3.429551721666568737e-08,2.712017475610870825e-08
9.858088930936612648e-01,3.894253263869871846e-08,6.112743743242396379e-08,4.904282835942594000e-08
1.478713339640491897e+00,4.591469463494331502e-08,4.382051593489978433e-08,7.067127070526932903e-08
1.971617786187322530e+00,2.677861491818203116e-08,1.018832437214346615e-08,7.550490004476976234e-08
2.464522232734153384e+00,4.193385902409077660e-08,5.431148585791350385e-08,9.141668531402149014e-08
2.957426679280983794e+00,6.772147878646998719e-08,7.523451358781927132e-08,7.116908010374715558e-08
3.450331125827814205e+00,6.433356587861000055e-08,4.315024656791371213e-08,2.645593492521272933e-08
3.943235572374645059e+00,7.112325653529009585e-09,5.378257588418745797e-08,4.694024939809938268e-09
4.436140018921475914e+00,6.139815390143504524e-08,4.729418384085378428e-08,5.510105459019311779e-08
4.929044465468306768e+00,6.402826123570354372e-08,3.590335083448319430e-08,8.585772824424073893e-08
5.421948912015136735e+00,1.599277939824281906e-08,3.113594571086193286e-08,7.483784835156121273e-08
5.914853358561967589e+00,3.237932438173769749e-08,1.983794007021861386e-08,9.874197227959510977e-08
6.407757805108798443e+00,5.202760056117700205e-08,5.407865693370995472e-08,1.224313325199410429e-07
6.900662251655628410e+00,3.148699942654163756e-08,1.587400661424413206e-08,1.149903926450860835e-07
7.393566698202459264e+00,1.539092821616608264e-08,2.220548568274883098e-08,4.876464347134770511e-08
7.886471144749290119e+00,8.151847719264288923e-09,7.103673455180987451e-08,6.034653507607087590e-08
8.379375591296120973e+00,4.213971543246175428e-08,6.628119188424419094e-08,3.257718675669344985e-08
8.872280037842951828e+00,6.463804225109618693e-08,2.749026836146018240e-08,6.852307683931078143e-08
9.365184484389782682e+00,4.030330948259640251e-08,2.088189801509545910e-08,6.308086825143004908e-08
9.858088930936613536e+00,7.204887920687293125e-08,6.588129084451843656e-08,5.561990499805364790e-08
1.035099337748344261e+01,8.022336740618540954e-08,4.697718716819995903e-08,1.877562607315137542e-08
1.084389782403027347e+01,1.999368301622792549e-08,1.033376890337743721e-08,2.659074538889163067e-08
1.133680227057710432e+01,4.657587943635048931e-08,4.459047380978778309e-08,7.522757990289810383e-08
1.182970671712393518e+01,3.677520004644930918e-08,6.137010941037536423e-08,9.582592112460489123e-08
1.232261116367076603e+01,6.821246696967000233e-08,8.648100925834070606e-08,2.759627492532269949e-08
1.281551561021759689e+01,3.015143163156580285e-08,7.139019182333613914e-08,7.953491782667816370e-09
1.330842005676442774e+01,1.812443420344699079e-08,1.023284792437294048e-08,4.178087046170260515e-08
1.380132450331125682e+01,2.472136098627165336e-08,4.325443008620171205e-08,1.076725295100668026e-07
1.429422894985808767e+01,1.521506797643555938e-08,3.262651639625245786e-08,8.659287217826673817e-08
1.478713339640491853e+01,3.144457480678266740e-08,3.043098926634742192e-08,6.040995345541041188e-08
1.528003784295174938e+01,2.927800922041605710e-08,2.766408152141984520e-08,9.008402874678619777e-08
1.577294228949858024e+01,2.928288313553153232e-08,3.298361950601721839e-08,4.755552510046580026e-08
1.626584673604541109e+01,6.415228297342309575e-08,2.298148880381850336e-08,8.931442024216545217e-08
1.675875118259224195e+01,4.398412646235014082e-08,8.980008587659189644e-08,7.668806621359885867e-08
1.725165562913907280e+01,5.659517536075823200e-08,9.271883585222160140e-08,4.826959829203311724e-04
1.774456007568590366e+01,7.246207105768595804e-08,5.749989360181424982e-08,4.826061680032229942e-04
1.823746452223273451e+01,8.516424023696281840e-08,6.025813996233178404e-08,6.827162898481629275e-04
1.873036896877956536e+01,9.654421154759433186e-04,5.520624523706883214e-08,1.365362891230588634e-03
1.922327341532639622e+01,4.825303025017423000e-04,6.707159445596813021e-09,6.826854677766516560e-04
1.971617786187322707e+01,1.930767826991400390e-03,2.205792782331809395e-08,4.826605544755569301e-04
2.020908230842005437e+01,1.448158056447431969e-03,1.554277702277102892e-08,4.827504818287154872e-04
2.070198675496688523e+01,4.651788201707657678e-08,5.436115955802705986e-08,5.782050185914168209e-08
2.119489120151371608e+01,3.600257535409840628e-08,4.530503510754603518e-08,8.658926319693464056e-08
2.168779564806054694e+01,4.645084212517763196e-08,1.657248059517276132e-08,3.915035603313576760e-08
2.218070009460737779e+01,6.683667379089819104e-08,4.604142231529997177e-08,7.270538590998225563e-09
2.267360454115420865e+01,4.974450824591693326e-08,8.246244885918440056e-08,7.003362696709881887e-08
2.316650898770103950e+01,2.059960406865025550e-08,7.525503734607429912e-08,4.859444533696804780e-08
2.365941343424787036e+01,1.964321900797816654e-08,9.076673780860461782e-08,4.901601741686927911e-08
2.415231788079470121e+01,3.566404058112174389e-08,5.643331690419127446e-08,1.570477979819514480e-08
2.464522232734153206e+01,2.067801260619727915e-08,7.539982278631305264e-09,2.798058684538727599e-08
2.513812677388836292e+01,3.765477737901395194e-08,1.037643114915855121e-08,4.370473429953262933e-08
2.563103122043519377e+01,3.158970853498596303e-08,1.594745278355025873e-08,7.443119162240629929e-08
2.612393566698202463e+01,7.236877557147287562e-08,1.726911948214779202e-08,1.390391756965078650e-07
2.661684011352885548e+01,1.785630356944135947e-08,4.991247772961917939e-08,1.091080665944555983e-07
2.710974456007568634e+01,1.079478171951522066e-03,5.202907370974946261e-08,4.701874939025925533e-08
2.760264900662251364e+01,2.158785274139017780e-03,4.104957269223338427e-08,1.611518316321811824e-08
2.809555345316934449e+01,1.079484998668547727e-03,4.698387048314481772e-08,2.242242411918231351e-08
2.858845789971617535e+01,1.322227616248507909e-07,3.554798846535410887e-08,2.164314414709268458e-08
2.908136234626300620e+01,1.120072062267875373e-07,6.588870641491897755e-08,7.423762229046227317e-08
2.957426679280983706e+01,1.931065596737376131e-03,1.931002870529777843e-03,1.931084361963685382e-03
3.006717123935666791e+01,3.861829663049541270e-03,3.861816276345726804e-03,3.861864042165767414e-03
3.056007568590349877e+01,1.931100260389110711e-03,1.931167184461213791e-03,1.931109438164717697e-03
3.105298013245032962e+01,1.048483266339090203e-07,1.502357542431801453e-07,7.081602361188410176e-08
3.154588457899716047e+01,7.358688040510016142e-08,1.541903578096454466e-08,7.243552764649120578e-08
3.203878902554399133e+01,5.756837672185865370e-08,3.439371027433223696e-08,1.465291051187307772e-08
3.253169347209082218e+01,2.171571008658845016e-08,4.322172228838644772e-08,1.694828945072398594e-08
3.302459791863765304e+01,3.503643261601273348e-08,6.703067917913538496e-08,4.307792165356282838e-08
3.351750236518448389e+01,4.578112215780896534e-08,8.497515219598149416e-08,5.449207034192499100e-08
3.401040681173131475e+01,2.165231017769230261e-08,3.140393652795311538e-08,8.224377474162883488e-08
3.450331125827814560e+01,3.117143052152294332e-08,2.839798919257746396e-08,7.841180898003995608e-08
3.499621570482497646e+01,7.759458470236686743e-08,5.084424801511284937e-08,4.126200104543092263e-08
3.548912015137180731e+01,1.221787587368577777e-07,5.298195141420519114e-08,1.219119038135152668e-08
3.598202459791863816e+01,6.633532346208965108e-08,9.596502128115430561e-09,5.085811268697699985e-08
3.647492904446546902e+01,1.199549833366228665e-07,4.445178813757191345e-08,3.009317890472585091e-08
3.696783349101229987e+01,9.655400046012346240e-04,4.360066677486239225e-08,9.655589886736981814e-04
3.746073793755913073e+01,1.930977921356738470e-03,3.941586576738422273e-08,1.931002990831417587e-03
3.795364238410596158e+01,1.931150104002671676e-03,2.179670745530284657e-08,1.448365098186366658e-03
3.844654683065279244e+01,1.931087742875748497e-03,8.323410855564293027e-08,9.654998165632384466e-04
3.893945127719962329e+01,9.655337476242610833e-04,9.126326733670896751e-08,4.827396417590208580e-04
3.943235572374645415e+01,4.351687925904600472e-08,8.396128355180488174e-08,2.379568040677143367e-08
3.992526017029327789e+01,8.845060919152494920e-08,5.491810614865548979e-08,2.279887852593203662e-08
4.041816461684010875e+01,9.654983831081129057e-04,5.959040700581329327e-08,2.659206346198335762e-08
4.091106906338693960e+01,9.653580251067564455e-04,3.413799757622455636e-08,4.454943032876252633e-08
4.140397350993377046e+01,9.654875462903576844e-04,4.471775007336281746e-08,2.583282090660349327e-08
4.189687795648060131e+01,9.654555199880618778e-04,7.321532941633412373e-08,4.226016846431902000e-08
4.238978240302743217e+01,1.365511828867143999e-03,5.727929804529275945e-08,2.919815060270247797e-08
4.288268684957426302e+01,2.730873110319236366e-03,4.002465613893060103e-08,5.386131837518566417e-08
4.337559129612109388e+01,1.365541810676053260e-03,4.890331885801243979e-08,8.200856559848833455e-08
4.386849574266792473e+01,6.768035248326823005e-08,1.616356899836468041e-08,7.315602384874015619e-08
4.436140018921475558e+01,6.056650648193110524e-08,8.603607988406595461e-08,8.073292555468039069e-08
4.485430463576158644e+01,9.736834069425929691e-08,6.113286651301689894e-08,1.584194900600790623e-08
4.534720908230841729e+01,2.111072546882587858e-08,2.394981460057942663e-08,4.827784585396212086e-04
4.584011352885524815e+01,1.990588051624243675e-03,3.181869035184643749e-08,1.740521553044320491e-03
4.633301797540207900e+01,3.980931998255678693e-03,9.817825576392389357e-08,2.936342587162016262e-03
4.682592242194890986e+01,1.990649955887598826e-03,1.000739761515078889e-07,1.448350991177538858e-03
4.731882686849574071e+01,1.312641704765407738e-07,5.738902166211982026e-08,5.170623863842232756e-08
4.781173131504257157e+01,2.421996712751651935e-08,2.627923235199168586e-08,1.005679625015509311e-07
4.830463576158940242e+01,3.593647789045351198e-08,1.481825631394064002e-08,7.053792520763567317e-08
4.879754020813623328e+01,3.663465663517395953e-08,2.929495868717967030e-08,1.022812838891901695e-07
4.929044465468306413e+01,2.553296694672497651e-08,3.536428970784343866e-08,6.761726975203576597e-08
4.978334910122989498e+01,9.656493341797941447e-04,2.822003497932706423e-08,4.830857085219808261e-08
5.027625354777672584e+01,1.931106066534997922e-03,4.636177474651118246e-08,6.586750348106515103e-08
5.076915799432355669e+01,9.655756049010761526e-04,5.576961132485971484e-08,3.248910336026654851e-08
5.126206244087038755e+01,9.229219800578662512e-09,8.167582547343626449e-08,5.208333552902411663e-08
5.175496688741721840e+01,4.474423241439686826e-08,2.872939658808261972e-08,4.555651732181397919e-08
5.224787133396404926e+01,4.587099872001469919e-08,6.525844763493532285e-08,5.736431996669584849e-08
5.274077578051088011e+01,7.623704914324268345e-08,7.597261341569420424e-08,6.024884205915649811e-08
5.323368022705771097e+01,6.076974242458518902e-08,7.110734979423112170e-08,1.516970683280123709e-08
5.372658467360454182e+01,4.779436191413553620e-08,3.437531625263980216e-08,4.071358604044765977e-08
5.421948912015137267e+01,4.120325532055324661e-08,2.775215219524648567e-08,6.878516232082372992e-08
5.471239356669820353e+01,7.947625471435054127e-08,6.223860916357536658e-08,4.671638309242961748e-09
5.520529801324502728e+01,7.140257070033035741e-08,3.285212239352538729e-08,2.379762746465462648e-08
5.569820245979185813e+01,5.853500299686978843e-08,1.448524142423816960e-03,4.828410438427964933e-04
5.619110690633868899e+01,1.180855811248091184e-07,4.821682687603009564e-04,2.414606155432574928e-03
5.668401135288551984e+01,9.656736401541333786e-04,1.194401407218211378e-02,1.429778636892869298e-02
5.717691579943235070e+01,1.079391088452451384e-03,1.780452684043700579e-02,1.803857048871550586e-02
5.766982024597918155e+01,1.365311195683861388e-03,5.399304382636881117e-03,5.505623278672868055e-03
5.816272469252601240e+01,1.990547264923982120e-03,2.413824551331064747e-03,1.079433887878202252e-03
5.865562913907284326e+01,1.931177260254723438e-03,2.815124035746212425e-03,6.347771178128900761e-08
5.914853358561967411e+01,9.655660607581572448e-04,3.676635275938089364e-03,6.591183919891470253e-08
5.964143803216650497e+01,9.656162451524538714e-04,1.526324613186486739e-03,4.827433208442738336e-04
6.013434247871333582e+01,1.931198915923839450e-03,2.048421983019208057e-03,4.827288978732925651e-04
6.062724692526016668e+01,9.656414781228832376e-04,2.432251205322909303e-07,4.827947256223577045e-04
6.112015137180699753e+01,1.155508320173518798e-07,2.073321331283227578e-08,9.656511642126532286e-04
6.161305581835382839e+01,9.656902216176976687e-04,6.578080676980709684e-08,9.656817945226496298e-04
6.210596026490065924e+01,1.931248235897834896e-03,4.057844900137459086e-08,4.828877812024923838e-04
6.259886471144749009e+01,9.656482760657008387e-04,3.838010248482018175e-08,7.743235854537975532e-08
6.309176915799432095e+01,5.512532620234507065e-08,4.034191418214518138e-08,4.828369264201158020e-04
6.358467360454115180e+01,7.894528837757499044e-08,3.919230926728309977e-08,9.656324170658888914e-04
6.407757805108798266e+01,4.655666455291916277e-08,7.745465865744447888e-08,4.828377448727781077e-04
6.457048249763481351e+01,1.346410367574414710e-07,2.614659556936740015e-08,5.315210060143849428e-08
6.506338694418164437e+01,9.657453701554012887e-04,3.285922696410396083e-08,4.828033919816122270e-04
6.555629139072847522e+01,1.931325821770057396e-03,1.079652432588602481e-03,4.827771585269713243e-04
6.604919583727530608e+01,9.657305750427576992e-04,2.159207054574281085e-03,4.827571177913216180e-04
6.654210028382213693e+01,1.135694341386676071e-07,1.079665665808751934e-03,6.827213127221396990e-04
6.703500473036896778e+01,9.656412222975198486e-04,1.195908776357157557e-07,9.656715545426670802e-04
6.752790917691579864e+01,1.931323532340163034e-03,9.657035958648023171e-04,4.828560740712781229e-04
6.802081362346262949e+01,9.656697098487285712e-04,1.931264183928896230e-03,3.892319686837385647e-08
6.851371807000946035e+01,1.448427172347473276e-03,2.414571393609218474e-03,4.828135938145984725e-04
6.900662251655629120e+01,2.158942964613809901e-03,3.981491719725297786e-03,9.656361895206080513e-04
6.949952696310312206e+01,1.990681431578337959e-03,1.990950524300741289e-03,4.828456130350889221e-04
6.999243140964995291e+01,1.448589774465314922e-03,1.975279765126290638e-07,1.808554895413181838e-08
7.048533585619678377e+01,1.365582615016114158e-03,5.029845149271913786e-08,4.808020952675355881e-08
7.097824030274361462e+01,1.990789206550823507e-03,1.448505235601060034e-03,1.687508696517172095e-08
7.147114474929044547e+01,1.931473789110848670e-03,1.990542493671504810e-03,8.776426911217887365e-08
7.196404919583727633e+01,1.990941280750662713e-03,1.079313555592638883e-03,9.657947054158876662e-04
7.245695364238410718e+01,1.365789665881282254e-03,1.079695571258512590e-03,1.931453503627775410e-03
7.294985808893093804e+01,1.079807056451967135e-03,1.064435737132602891e-07,9.658111632864568516e-04
7.344276253547776889e+01,1.931404998075756220e-03,5.873908364744002005e-08,4.827554359166623811e-04
7.393566698202459975e+01,1.931457693817411649e-03,3.042990316375285036e-08,9.656780247970376662e-04
7.442857142857143060e+01,1.931434657192798764e-03,1.030744592762281754e-07,1.079809315901249104e-03
7.492147587511826146e+01,9.657011127574107378e-04,1.448693194819591044e-03,1.079660153184611561e-03
7.541438032166509231e+01,1.377537211631765274e-07,2.897149888477084344e-03,9.657286547152602041e-04
7.590728476821192316e+01,1.741044260195377148e-03,2.049096225754601461e-03,6.829577785965902908e-04
7.640018921475875402e+01,3.053698177300812576e-03,2.897121277566452793e-03,4.828707468990637458e-04
7.689309366130558487e+01,1.448723096669873780e-03,1.448689051040988676e-03,5.207837298515337325e-08
7.738599810785241573e+01,8.536514477647136058e-08,6.191987443976750957e-08,3.272589513849662440e-08
7.787890255439924658e+01,4.666478194153294660e-08,1.527097053250102941e-03,6.829025082297667448e-04
7.837180700094607744e+01,5.227995418979931878e-08,3.053946248579986113e-03,1.527032327002560879e-03
7.886471144749290829e+01,2.404263915179775025e-08,1.527121405171962595e-03,1.366001707154853922e-03
7.935761589403972494e+01,3.306893159074641772e-08,4.753235247849406501e-08,1.527105369048391845e-03
7.985052034058655579e+01,3.408949999495804527e-08,7.018715708304744343e-08,1.079944613864121427e-03
8.034342478713338664e+01,3.054920065937634674e-08,6.316634937920188700e-08,9.657747854400797020e-04
8.083632923368021750e+01,8.524808368622578709e-08,8.891928617147981726e-08,6.827182286220445998e-04
8.132923368022704835e+01,5.613698687600600421e-08,1.028627589895827771e-07,6.827219884849407760e-04
8.182213812677387921e+01,9.659223618986127746e-04,4.412128480791807056e-08,9.658121438001690670e-04
8.231504257332071006e+01,1.931588153881189183e-03,2.082303740498801416e-08,6.830808007842145181e-04
8.280794701986754092e+01,9.658568297478374587e-04,6.088240355483189374e-09,4.828528678247417331e-04
8.330085146641437177e+01,5.507844079584462195e-08,4.729648133329689000e-08,4.829494377371404130e-04
8.379375591296120263e+01,2.796045070230596776e-08,8.926604442623530467e-08,9.657906620161051375e-04
8.428666035950803348e+01,3.636136628390206583e-08,8.615834140533806378e-08,4.829839332747975925e-04
8.477956480605486433e+01,3.906465283140501830e-08,8.881498769673332406e-09,4.830128013021948476e-04
8.527246925260169519e+01,5.952999337260586814e-08,7.075789289270885089e-08,9.658201721789378205e-04
8.576537369914852604e+01,3.042037783216362284e-08,3.803211416819749224e-08,4.829221033127333094e-04
8.625827814569535690e+01,3.366302073448032244e-08,8.047401563668654030e-08,5.129125660548596595e-08
8.675118259224218775e+01,6.599723788469173239e-08,7.395976138855815511e-08,4.830017268007209450e-04
8.724408703878901861e+01,9.855310742610708434e-08,5.457992642671637147e-08,9.657938526357538311e-04
8.773699148533584946e+01,6.143121565530420905e-08,4.377427112156503282e-08,4.828765667864824696e-04
8.822989593188268032e+01,4.518569014918611194e-08,5.821134225050042608e-08,1.821973095805390008e-08
8.872280037842951117e+01,3.806497682236668213e-08,8.638762003885153882e-08,6.320568429163993761e-08
8.921570482497634202e+01,4.286008191563643925e-08,4.651867011689637855e-08,5.960231816130128691e-08
