frequency_hz,horizontal,vertical,axial
0.000000000000000000e+00,1.120508351311547989e-08,3.335864843084555335e-08,1.881534973254033639e-08
4.920804467909787872e-01,2.803811479677992769e-08,5.344227205934343638e-08,4.014145177554056410e-08
9.841608935819575743e-01,3.504123289366026183e-08,8.995881856476191745e-09,1.024420822598602764e-07
1.476241340372936417e+00,6.565599001569444108e-08,1.954649284783254615e-08,2.633755327494012548e-08
1.968321787163915149e+00,8.352594759559784351e-08,4.276309699206977809e-08,8.881605597164137398e-08
2.460402233954893880e+00,4.882071938825550845e-08,5.743711468517882453e-08,4.616475276224998228e-08
2.952482680745872834e+00,2.460408901650508059e-08,5.411321031071355273e-08,2.368760020237564786e-08
3.444563127536851344e+00,2.001167021507881589e-08,6.567918008122048699e-08,1.862123650795660670e-08
3.936643574327830297e+00,1.284836693452525629e-08,5.031170895847821068e-08,3.200348855759138869e-08
4.428724021118808807e+00,1.961416244064912930e-08,8.630488277195424935e-08,1.047824748181187402e-08
4.920804467909787761e+00,1.891059430609098525e-08,8.976424546748821475e-08,6.752158831547788616e-08
5.412884914700766714e+00,5.180836663909512745e-08,4.033150663090749604e-08,6.805267880630938050e-08
5.904965361491745668e+00,4.731001846902778937e-08,2.555366292983349812e-08,3.188959808506079615e-08
6.397045808282724622e+00,3.183387471407009453e-08,6.967048363619718849e-08,3.961896609202993254e-08
6.889126255073702687e+00,6.325940919967449014e-08,3.745645302731031108e-08,6.743916635371826469e-08
7.381206701864681641e+00,5.525594617877165497e-08,4.785095804154862967e-08,5.716427992591850320e-08
7.873287148655660594e+00,5.633858731302398016e-08,6.622689219613052528e-08,3.524899109514908432e-08
8.365367595446638660e+00,5.825005953102194601e-08,2.479635506436381995e-08,2.483597745077403105e-08
8.857448042237617614e+00,4.326019870192802605e-08,2.989512858298096601e-08,3.255045161038291200e-08
9.349528489028596567e+00,3.018180086549354162e-08,7.360681904382434367e-08,4.090363437507818911e-08
9.841608935819575521e+00,7.645582246966893916e-08,6.737907524326499523e-08,4.639436519988616242e-08
1.033368938261055447e+01,6.904140612466819483e-08,3.776777610267657204e-08,7.940995029959815904e-08
1.082576982940153343e+01,3.222942134835783944e-08,5.559582858501432482e-08,5.475184265786228206e-08
1.131785027619251238e+01,4.049448368313593352e-08,7.487962081108893618e-08,5.900186134724461754e-08
1.180993072298349134e+01,8.006955388103222252e-08,3.623950379107297707e-08,8.803506062418390896e-09
1.230201116977447029e+01,4.161906895436812074e-08,3.868315144126927986e-08,7.708590785208553816e-08
1.279409161656544924e+01,4.827327747343266987e-04,3.264014390163991964e-08,5.167855637488506939e-08
1.328617206335642642e+01,9.653812056306604675e-04,3.036031601372553035e-08,2.653192294459175092e-08
1.377825251014740537e+01,4.827192417868009190e-04,3.298243275903251312e-08,1.271993094993505217e-07
1.427033295693838433e+01,1.323365767903917511e-08,2.933220224388052775e-08,1.392294800219921282e-07
1.476241340372936328e+01,1.904790817250940020e-08,6.992742225490717737e-08,6.471019145449039701e-08
1.525449385052034224e+01,2.310223556705525372e-09,4.742706578494722818e-08,8.447381988457758780e-08
1.574657429731132119e+01,4.498955386171291593e-08,3.365505234671194242e-08,8.250488662161232709e-08
1.623865474410229837e+01,5.883966494213961469e-08,9.271814333869984464e-09,4.930567076040941456e-08
1.673073519089327732e+01,3.886999802291761724e-08,6.288183297737737446e-08,3.992982071481057122e-08
1.722281563768425627e+01,3.598618187529079047e-08,4.066995785073261089e-08,2.064315516634602588e-08
1.771489608447523523e+01,4.877070826175018091e-08,3.509660956477857127e-08,1.868456549892029473e-08
1.820697653126621418e+01,9.112085802010522718e-08,4.519489109515917236e-08,4.490485050571218944e-08
1.869905697805719313e+01,3.909406542202823351e-08,4.228711565671192353e-08,6.912240609319804807e-08
1.919113742484817209e+01,2.420425286699561178e-08,5.052340108384889717e-08,8.885149286083998531e-08
1.968321787163915104e+01,5.291086961788646510e-08,6.714387629386559634e-08,9.026242055180715017e-08
2.017529831843013000e+01,6.550177539559992626e-08,4.934365180755740648e-08,9.452741227853005148e-08
2.066737876522110895e+01,2.916831200118659098e-08,4.200121418073338079e-08,6.970674134333582224e-08
2.115945921201208790e+01,2.150847156521844941e-08,3.325446264565238231e-08,2.200153286523664858e-08
2.165153965880306686e+01,2.908378799487616484e-08,6.435750763916784392e-08,3.146107653011091535e-08
2.214362010559404581e+01,2.155839394701100856e-08,3.090070240200851793e-08,4.506248851092724315e-08
2.263570055238502476e+01,7.191679685509142931e-08,6.672442930442304921e-08,2.252359958368573364e-08
2.312778099917600372e+01,5.189801817224426069e-08,1.409410729975637394e-07,6.809997401821158488e-08
2.361986144596698267e+01,3.015315262671582059e-08,9.804947049278233247e-08,4.488172639734002202e-08
2.411194189275796163e+01,4.917330952197331584e-08,1.469601123728211048e-08,5.083935475164478504e-08
2.460402233954894058e+01,4.255422205160443978e-08,9.106122367567209287e-09,4.076075147596013495e-08
2.509610278633991953e+01,4.827061225263463919e-04,7.491587601750881371e-08,5.644645304421942464e-08
2.558818323313089849e+01,4.826868117111896028e-04,9.850245457815193013e-08,4.824908612340463879e-08
2.608026367992187744e+01,4.826423350121996541e-04,6.997198012345163058e-08,4.449658654936425982e-08
2.657234412671285284e+01,6.825473488204737357e-04,5.972722325272023830e-08,2.735263634436923850e-08
2.706442457350383179e+01,9.654798584478973926e-04,5.458025529862781988e-08,4.494157232102350400e-08
2.755650502029481075e+01,4.828269635243044523e-04,3.536658793002279179e-09,3.222413602368124944e-08
2.804858546708578970e+01,7.626260820532382397e-08,3.110588301932188677e-08,3.765324465811109400e-08
2.854066591387676866e+01,4.280749695269402090e-08,4.121292648800259018e-08,7.381464295805178342e-08
2.903274636066774761e+01,4.000076474754885434e-08,6.504951338321329315e-08,3.157231867774881548e-08
2.952482680745872656e+01,9.679529592231220860e-09,2.411632135361682213e-08,6.792975140995706119e-08
3.001690725424970552e+01,3.150808699917550399e-08,4.576894902890621499e-08,9.585798856102230008e-08
3.050898770104068447e+01,2.610871897417509585e-08,2.923282520242112951e-08,7.648747084155129366e-08
3.100106814783166342e+01,5.289649467993669770e-08,4.601369469090176558e-08,4.788975526510598517e-08
3.149314859462264238e+01,6.960260452071948397e-08,2.585129117350866856e-08,5.227128863515765230e-08
3.198522904141362133e+01,5.744315045590835863e-08,5.001651273057800750e-08,2.675102510484665190e-08
3.247730948820459673e+01,1.210117900595274848e-08,6.254529350057021313e-08,2.005371405482584890e-08
3.296938993499557569e+01,2.173669278045432038e-08,2.195982142681077198e-08,2.198862696790822064e-08
3.346147038178655464e+01,4.997872197968848522e-08,4.158864129060853793e-08,1.320843317699345423e-08
3.395355082857753359e+01,4.946981527531427821e-08,4.113257364760458657e-08,2.784948180151072775e-08
3.444563127536851255e+01,5.701519784891306718e-08,5.400353242197238691e-08,6.578554784948570531e-08
3.493771172215949150e+01,4.155248969514413816e-08,6.513446571726587063e-08,9.209185043729623080e-08
3.542979216895047045e+01,1.576728990751636815e-08,4.879408668074372458e-08,6.461218518058645081e-08
3.592187261574144941e+01,4.464764804795519131e-08,6.240702929143666431e-08,2.512132653757931511e-08
3.641395306253242836e+01,7.090862688408490445e-08,8.205676447020489896e-08,1.680817087839978030e-08
3.690603350932340732e+01,2.232817020149674475e-08,7.048548922486502534e-08,6.633104516159049165e-08
3.739811395611438627e+01,4.783626983102734193e-08,3.360245232880675242e-08,3.957318399378181084e-08
3.789019440290536522e+01,3.216084951163811616e-08,9.989446802621699120e-08,4.689111029424766019e-08
