frequency_hz,horizontal,vertical,axial
0.000000000000000000e+00,1.295940885275135707e-06,4.038658212296559477e-08,1.169657922777982648e-06
1.967036991820290348e+00,2.412944990695784289e-03,1.294796482361325221e-07,1.447578986673240652e-03
3.934073983640580696e+00,4.836552630743152516e-04,1.728187362060997944e-07,8.672658000179016915e-07
5.901110975460871266e+00,4.832137457264547319e-04,1.107482550631765003e-07,4.121043983220289133e-07
7.868147967281161392e+00,9.651669654669401679e-04,4.011451427936317505e-08,3.591097836939668389e-07
9.835184959101452407e+00,4.831807418295936763e-04,1.755323174390902049e-07,1.642198135838662236e-07
1.180222195092174253e+01,2.776154817281578412e-07,1.668420977716489080e-07,1.745887257805866909e-07
1.376925894274203266e+01,4.829232981593105118e-04,2.524468689667599772e-07,4.825515184032976197e-04
1.573629593456232278e+01,9.656305385344823985e-04,1.053941574914313878e-07,8.255834113621889030e-07
1.770333292638261469e+01,1.448113882073939936e-03,1.390328151100156986e-07,8.650834779976981663e-07
1.967036991820290481e+01,9.640303226881404593e-07,2.073218382081145425e-07,4.831959026237745087e-04
2.163740691002319494e+01,4.834583344582563699e-04,2.113903372582186761e-07,9.660935162729107151e-04
2.360444390184348507e+01,9.722566573337093274e-03,3.415506575738688506e-03,8.818434121915083926e-03
2.557148089366377519e+01,3.800448291303864384e-02,1.127085771424667093e-02,4.000789860697036293e-02
2.753851788548406532e+01,3.692434600053964844e-02,1.089223283010026973e-02,3.929310050011938782e-02
2.950555487730435544e+01,8.869498353578095587e-03,2.161616197806392244e-03,8.640693908418107735e-03
3.147259186912464557e+01,1.079949640186523771e-03,9.655372729898136245e-04,2.161522692734760536e-03
3.343962886094493570e+01,9.663613992295183672e-04,3.563267985175840288e-07,2.158599888047526769e-03
3.540666585276522937e+01,4.833619068202616993e-04,9.442179870745380762e-08,1.931319864177268508e-03
3.737370284458551595e+01,2.384695200367814916e-06,4.829072835870398947e-04,9.655062165405143421e-04
3.934073983640580963e+01,9.629308261125810913e-04,4.824582665581489882e-04,2.996268950196579438e-07
4.130777682822609620e+01,9.688221362668870311e-04,3.005479190257754736e-07,4.782787385140325253e-07
4.327481382004638988e+01,1.530852193384210419e-03,5.516988763671339332e-07,2.948877577081708211e-07
4.524185081186667645e+01,1.360308103388843670e-03,7.148491104926203592e-07,6.606355916717139743e-07
4.720888780368697013e+01,6.922099601707532891e-04,4.817254475315866724e-04,9.474846913532773065e-07
4.917592479550725670e+01,4.174905583909833268e-03,9.685648808776212712e-04,2.647521637064965404e-06
5.114296178732755038e+01,2.984154254186880406e-01,1.883501263248684235e-02,1.546203934920453715e-02
5.310999877914783696e+01,5.699110366796291682e-01,3.620833627337942395e-02,3.091296651238993609e-02
5.507703577096813063e+01,2.718605730519439989e-01,1.786954366193233001e-02,1.546202900763102468e-02
5.704407276278841721e+01,4.884498029747242134e-03,2.937307885262719908e-06,2.648904557049086905e-06
5.901110975460871089e+01,3.242439624693476807e-03,1.028657283829511163e-06,4.819716737153525868e-04
6.097814674642899746e+01,1.361415560494452217e-03,4.777140758198404561e-07,9.662607444180373395e-04
6.294518373824929114e+01,3.889751584757384327e-03,7.906573287293917267e-07,6.822650976224174614e-04
6.491222073006957771e+01,7.541135099688669671e-03,1.079665640532970032e-03,9.657268303516495025e-04
6.687925772188987139e+01,2.159803234314652820e-03,1.079734901903606431e-03,1.080391776068179545e-03
6.884629471371016507e+01,2.412640005502449374e-03,4.826719249292044079e-04,1.931523572177479752e-03
7.081333170553045875e+01,2.413945502490524690e-03,1.366110452991295757e-03,9.659759796589269991e-04
7.278036869735073822e+01,1.447708287253765503e-03,1.078587511995908986e-03,1.987388625738049928e-07
7.474740568917103190e+01,3.894381015724588443e-03,1.083122252866778679e-03,9.657629924080227309e-04
7.671444268099132557e+01,3.015710584840169961e-02,1.401474448744520658e-02,4.349420009578140907e-03
7.868147967281161925e+01,1.341866703736043498e-01,5.804600461692508567e-02,1.676079967517128677e-02
8.064851666463189872e+01,1.270853651938982365e-01,5.414145801911254136e-02,1.607500580626717093e-02
8.261555365645219240e+01,2.448224613856406218e-02,9.668780134032203821e-03,1.114632324404811643e-02
8.458259064827248608e+01,3.240841661720702486e-03,9.663066350671001455e-04,4.321678417800192684e-03
8.654962764009277976e+01,1.991421549605101610e-03,1.991390617535489758e-03,1.975742838052476874e-07
8.851666463191305922e+01,9.638839028282831763e-04,1.080479558577858955e-03,2.160170148042658746e-03
9.048370162373335290e+01,1.742357630529656849e-03,1.364054164101131082e-03,3.862280323362319613e-03
9.245073861555364658e+01,9.655020056771732766e-04,9.644697630164373843e-04,3.769958231424686609e-03
9.441777560737394026e+01,1.363898801209104160e-03,9.671659796416929352e-04,2.161981748442460671e-03
9.638481259919423394e+01,1.530717207030034624e-03,9.677257266285411996e-04,4.820120487492615506e-04
9.835184959101451341e+01,4.888917776233018837e-04,4.857869386124554325e-04,9.676528222725837335e-04
1.003188865828348071e+02,6.907486095117525192e-04,4.899671725179185772e-04,1.445909265883311458e-03
1.022859235746551008e+02,4.790939046400348976e-03,5.665525951683314000e-03,1.457907211655513468e-03
1.042529605664753944e+02,2.024737081136605832e-01,1.933919161405667775e-01,7.007877173776709545e-02
1.062199975582956739e+02,3.695002626924562827e-01,3.528112507074785409e-01,1.352602025074381709e-01
1.081870345501159676e+02,1.667212369473914935e-01,1.611893895365533180e-01,6.560331356165993721e-02
1.101540715419362613e+02,7.782163760785083297e-03,4.904373683351764997e-03,1.366142258167790625e-03
1.121211085337565549e+02,4.325223060931544100e-03,2.158289628688431043e-03,1.082361098960208951e-03
1.140881455255768344e+02,3.769830987884409748e-03,2.414855340768395312e-03,3.240223279008764418e-03
1.160551825173971281e+02,9.611736703953372872e-04,3.238359174021563335e-03,4.830223414530401133e-03
1.180222195092174218e+02,5.202148672210893041e-03,1.526169409726341793e-03,1.081584454382168410e-03
1.199892565010377155e+02,3.893659356255405653e-03,3.678046207307867407e-03,1.366264089620356772e-03
1.219562934928579949e+02,1.742440804051580139e-03,1.368805846074653328e-03,1.080495131738297030e-03
1.239233304846782886e+02,2.732201131361250944e-03,1.933434865203354858e-03,1.450500970075959632e-03
1.258903674764985823e+02,1.935380922327924321e-03,2.049648767479143874e-03,1.447810124370867667e-03
1.278574044683188760e+02,7.185298021378007556e-03,3.892664076015300498e-03,1.367617772100949156e-03
1.298244414601391554e+02,6.012077393358160327e-02,4.295927908477850665e-02,3.320529314979591556e-02
1.317914784519594491e+02,2.470871031574996823e-01,1.675479619332081449e-01,1.141462291043144062e-01
1.337585154437797428e+02,2.200733732932063091e-01,1.468508795745037676e-01,9.735127215043298810e-02
1.357255524356000365e+02,3.403100560025543869e-02,2.220365196279869974e-02,1.471823247630374247e-02
1.376925894274203301e+02,6.353901407037820456e-03,4.582529416909529585e-03,5.638571386243343073e-03
1.396596264192406238e+02,5.230328787605857503e-03,3.418377623770162479e-03,2.462876447049033336e-03
1.416266634110609175e+02,9.674137266964091863e-04,1.529258506450814365e-03,3.866819279399281561e-03
1.435937004028811828e+02,3.242973167584769102e-03,1.741119363991091998e-03,1.989742668020268515e-03
1.455607373947014764e+02,3.770859038683490976e-03,4.857676661376000089e-04,3.771520861240274837e-03
1.475277743865217701e+02,1.523852349727405041e-03,1.930839556473754612e-03,1.742118136382791093e-03
1.494948113783420638e+02,1.369617762541918988e-03,9.689804068496403857e-04,2.818129597194015106e-03
1.514618483701623575e+02,1.085065173181399851e-03,1.366311610296325890e-03,1.988507655693001232e-03
1.534288853619826511e+02,1.521112060492606829e-03,6.847799202842804736e-04,2.472313559379418074e-03
1.553959223538029448e+02,8.739839055881958030e-03,6.595446389975017157e-03,1.072782529730001086e-02
1.573629593456232385e+02,1.472889590205514743e-01,1.221551853161479267e-01,1.559026034404643601e-01
1.593299963374435322e+02,2.570941504603929673e-01,2.107372427504008439e-01,2.681585031107038830e-01
