frequency_hz,horizontal,vertical,axial
0.000000000000000000e+00,3.005202882353621924e-08,2.401553026623763294e-08,2.479079366530029826e-08
4.928128910184025879e-01,5.377586802370036785e-08,8.128624450877547733e-08,7.384662302506346176e-08
9.856257820368051759e-01,5.686579915700558364e-08,8.900477133909889209e-08,8.091411528121717459e-08
1.478438673055207708e+00,3.893743519023509940e-08,6.652720429236809552e-08,8.557104887290140740e-08
1.971251564073610352e+00,4.793491958698831622e-08,5.241007633710429179e-08,6.047034561643987966e-08
2.464064455092012995e+00,8.704497198968381426e-08,7.984577177107120680e-08,5.396514346334470702e-08
2.956877346110415417e+00,9.081637206976951841e-08,1.195954478398528211e-07,1.820373958792661584e-08
3.449690237128818282e+00,6.000874149050234549e-08,1.114517878079773228e-07,2.037447987895070198e-08
3.942503128147220703e+00,6.484123603644135638e-08,8.236331246662318594e-08,4.007916390650665768e-08
4.435316019165623125e+00,6.136516878747900822e-08,1.334675904915227764e-08,4.074448299333275472e-08
4.928128910184025990e+00,7.979718997213301057e-08,4.030628279734094642e-08,2.422956163525711624e-08
5.420941801202428856e+00,6.983276483836518457e-08,1.395456510121828506e-08,5.364175792092318660e-09
5.913754692220830833e+00,5.118800609557648802e-08,5.330551476406840431e-08,2.348844200286493366e-08
6.406567583239233699e+00,3.369875188685955589e-08,4.821505421427912859e-08,3.189073661098505406e-08
6.899380474257636564e+00,1.843226889736884491e-08,5.141350745301045005e-08,2.696935794028013706e-08
7.392193365276038541e+00,2.577022684179744427e-08,9.960907053831554174e-08,6.542775229786236090e-08
7.885006256294441407e+00,8.366490799260630122e-08,8.390646645866996225e-08,3.915902724375344274e-08
8.377819147312843384e+00,9.831691467091233650e-08,2.208594851764311909e-08,2.458576020682947668e-08
8.870632038331246250e+00,6.702375261245834824e-08,5.329361100096830991e-08,4.053871400630257833e-08
9.363444929349649115e+00,1.533912021265275103e-08,6.636267177734314715e-08,8.542965331805716914e-08
9.856257820368051981e+00,3.250345187366859124e-08,6.695572027837189645e-08,5.723299060387371396e-08
1.034907071138645485e+01,7.027338026045948009e-08,2.794513387576686823e-08,2.859219387181699316e-08
1.084188360240485771e+01,8.177826824008430122e-08,4.188783420691975066e-08,5.237207391707276576e-08
1.133469649342325880e+01,2.242943572068899162e-08,3.614528595476630541e-08,1.710102583747390923e-08
1.182750938444166167e+01,1.253763692058108602e-07,6.902266449177276500e-08,2.821451853617548204e-08
